"drug","cell_line","tissue_type","ic50","source"
"17AAG","KCIMOH1","PANCREAS","0.136119515","CCLE"
"17AAG","KCL22","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.10770423","CCLE"
"17AAG","KE39","STOMACH","0.125281632","CCLE"
"17AAG","KE97","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.123593725","CCLE"
"17AAG","KELLY","AUTONOMIC:GANGLIA","2.224541187","CCLE"
"17AAG","KG1","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.047090092","CCLE"
"17AAG","KHM1B","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.167679474","CCLE"
"17AAG","KLE","ENDOMETRIUM","0.927676288","CCLE"
"17AAG","KMBC2","URINARY:TRACT","0.061397079","CCLE"
"17AAG","KMM1","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.190332726","CCLE"
"17AAG","KMRC1","KIDNEY","0.309771448","CCLE"
"17AAG","KMRC2","KIDNEY","2.275416613","CCLE"
"17AAG","KMS11","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.033564694","CCLE"
"17AAG","KMS12BM","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.124920338","CCLE"
"17AAG","KMS26","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.237215653","CCLE"
"17AAG","KMS34","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.171445847","CCLE"
"17AAG","KNS42","CENTRAL:NERVOUS:SYSTEM","8","CCLE"
"17AAG","KNS60","CENTRAL:NERVOUS:SYSTEM","0.055461988","CCLE"
"17AAG","KNS62","LUNG","0.576808989","CCLE"
"17AAG","KNS81","CENTRAL:NERVOUS:SYSTEM","0.257104039","CCLE"
"17AAG","KO52","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.652886987","CCLE"
"17AAG","KP1NL","PANCREAS","1.301798344","CCLE"
"17AAG","KP1N","PANCREAS","1.20516336","CCLE"
"17AAG","KP2","PANCREAS","0.038178917","CCLE"
"17AAG","KP3","PANCREAS","0.166749611","CCLE"
"17AAG","KP4","PANCREAS","0.056765284","CCLE"
"17AAG","KPNSI9S","AUTONOMIC:GANGLIA","0.082642227","CCLE"
"17AAG","KU812","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.129609898","CCLE"
"17AAG","KURAMOCHI","OVARY","0.332910785","CCLE"
"17AAG","KYM1","SOFT:TISSUE","0.088494658","CCLE"
"17AAG","KYSE140","OESOPHAGUS","0.961978316","CCLE"
"17AAG","KYSE150","OESOPHAGUS","0.080904983","CCLE"
"17AAG","KYSE180","OESOPHAGUS","0.075374797","CCLE"
"17AAG","KYSE30","OESOPHAGUS","0.811484754","CCLE"
"17AAG","KYSE410","OESOPHAGUS","0.269242465","CCLE"
"17AAG","KYSE450","OESOPHAGUS","0.71019572","CCLE"
"17AAG","KYSE510","OESOPHAGUS","0.175444975","CCLE"
"17AAG","KYSE520","OESOPHAGUS","0.079899609","CCLE"
"17AAG","KYSE70","OESOPHAGUS","0.060356256","CCLE"
"17AAG","L33","PANCREAS","0.157320872","CCLE"
"17AAG","L363","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.023713689","CCLE"
"17AAG","L428","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","1.254022121","CCLE"
"17AAG","LC1SQSF","LUNG","0.289881378","CCLE"
"17AAG","LCLC103H","LUNG","3.666449308","CCLE"
"17AAG","LN18","CENTRAL:NERVOUS:SYSTEM","0.060397994","CCLE"
"17AAG","LN229","CENTRAL:NERVOUS:SYSTEM","0.061167378","CCLE"
"17AAG","LOUNH91","LUNG","8","CCLE"
"17AAG","LOXIMVI","SKIN","0.18541798","CCLE"
"17AAG","LP1","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.610796988","CCLE"
"17AAG","LS123","LARGE:INTESTINE","0.349257827","CCLE"
"17AAG","LS411N","LARGE:INTESTINE","0.081793495","CCLE"
"17AAG","LS513","LARGE:INTESTINE","0.029090017","CCLE"
"17AAG","LU99","LUNG","0.052298609","CCLE"
"17AAG","LUDLU1","LUNG","0.048696097","CCLE"
"17AAG","M059J","CENTRAL:NERVOUS:SYSTEM","0.092863642","CCLE"
"17AAG","MALME3M","SKIN","0.090723187","CCLE"
"17AAG","MB157","BREAST","0.124791831","CCLE"
"17AAG","MC116","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.741352916","CCLE"
"17AAG","MCAS","OVARY","0.072973058","CCLE"
"17AAG","MCF7","BREAST","0.01876104","CCLE"
"17AAG","MDAMB157","BREAST","8","CCLE"
"17AAG","MDAMB175VII","BREAST","0.032827336","CCLE"
"17AAG","MDAMB415","BREAST","0.018407384","CCLE"
"17AAG","MDAMB435S","SKIN","0.076227158","CCLE"
"17AAG","MDAMB436","BREAST","8","CCLE"
"17AAG","MDAMB453","BREAST","0.015530476","CCLE"
"17AAG","MDAMB468","BREAST","0.367030263","CCLE"
"17AAG","MEC1","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.435086757","CCLE"
"17AAG","MEG01","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","1.050176263","CCLE"
"17AAG","MELHO","SKIN","8","CCLE"
"17AAG","MESSA","SOFT:TISSUE","0.037811786","CCLE"
"17AAG","MEWO","SKIN","8","CCLE"
"17AAG","MFE280","ENDOMETRIUM","0.207526833","CCLE"
"17AAG","MFE296","ENDOMETRIUM","0.328074843","CCLE"
"17AAG","MFE319","ENDOMETRIUM","0.079697538","CCLE"
"17AAG","MG63","BONE","0.814632237","CCLE"
"17AAG","MHHES1","BONE","0.146468312","CCLE"
"17AAG","MIAPACA2","PANCREAS","0.020956876","CCLE"
"17AAG","MINO","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.081997298","CCLE"
"17AAG","MJ","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.097161315","CCLE"
"17AAG","MKN45","STOMACH","0.017859768","CCLE"
"17AAG","MKN74","STOMACH","0.169060647","CCLE"
"17AAG","MKN7","STOMACH","0.996641457","CCLE"
"17AAG","MOGGCCM","CENTRAL:NERVOUS:SYSTEM","0.271819055","CCLE"
"17AAG","MOLP8","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.323331714","CCLE"
"17AAG","MOLT16","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.447354048","CCLE"
"17AAG","MONOMAC1","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.014459794","CCLE"
"17AAG","MORCPR","LUNG","0.076338477","CCLE"
"17AAG","MPP89","PLEURA","0.200979024","CCLE"
"17AAG","MSTO211H","PLEURA","0.190373659","CCLE"
"17AAG","NCIH1048","LUNG","0.048622094","CCLE"
"17AAG","NCIH1092","LUNG","8","CCLE"
"17AAG","NCIH1155","LUNG","0.117387019","CCLE"
"17AAG","NCIH1184","LUNG","0.230962545","CCLE"
"17AAG","NCIH1299","LUNG","0.267252147","CCLE"
"17AAG","NCIH1339","LUNG","0.027336583","CCLE"
"17AAG","NCIH1341","LUNG","0.01379581","CCLE"
"17AAG","NCIH1355","LUNG","0.104488812","CCLE"
"17AAG","NCIH1373","LUNG","0.067688048","CCLE"
"17AAG","NCIH1563","LUNG","0.215863928","CCLE"
"17AAG","NCIH1568","LUNG","8","CCLE"
"17AAG","NCIH1573","LUNG","0.128462195","CCLE"
"17AAG","NCIH1581","LUNG","0.605425537","CCLE"
"17AAG","NCIH1648","LUNG","8","CCLE"
"17AAG","NCIH1650","LUNG","0.030661542","CCLE"
"17AAG","NCIH1651","LUNG","0.243237942","CCLE"
"17AAG","NCIH1666","LUNG","0.016954798","CCLE"
"17AAG","NCIH1693","LUNG","8","CCLE"
"17AAG","NCIH1694","LUNG","3.349775107","CCLE"
"17AAG","NCIH1703","LUNG","0.039121125","CCLE"
"17AAG","NCIH1792","LUNG","0.103014566","CCLE"
"17AAG","NCIH1793","LUNG","0.238597125","CCLE"
"17AAG","NCIH1869","LUNG","0.100020558","CCLE"
"17AAG","NCIH1915","LUNG","0.035393722","CCLE"
"17AAG","NCIH1944","LUNG","0.026266662","CCLE"
"17AAG","NCIH1975","LUNG","0.055695072","CCLE"
"17AAG","NCIH2009","LUNG","0.188103288","CCLE"
"17AAG","NCIH2023","LUNG","0.023395276","CCLE"
"17AAG","NCIH2030","LUNG","0.04906629","CCLE"
"17AAG","NCIH2052","PLEURA","0.238069907","CCLE"
"17AAG","NCIH2085","LUNG","0.761869073","CCLE"
"17AAG","NCIH2087","LUNG","0.064093605","CCLE"
"17AAG","NCIH211","LUNG","0.125717342","CCLE"
"17AAG","NCIH2122","LUNG","0.026409486","CCLE"
"17AAG","NCIH2170","LUNG","0.015281511","CCLE"
"17AAG","NCIH2172","LUNG","0.005899465","CCLE"
"17AAG","NCIH2228","LUNG","0.113416389","CCLE"
"17AAG","NCIH226","LUNG","8","CCLE"
"17AAG","NCIH2286","LUNG","0.034514762","CCLE"
"17AAG","NCIH23","LUNG","0.046550732","CCLE"
"17AAG","NCIH2444","LUNG","0.268049806","CCLE"
"17AAG","NCIH2452","PLEURA","0.147931322","CCLE"
"17AAG","NCIH28","PLEURA","0.148407042","CCLE"
"17AAG","NCIH322","LUNG","0.024739213","CCLE"
"17AAG","NCIH3255","LUNG","0.078972206","CCLE"
"17AAG","NCIH358","LUNG","0.07596647","CCLE"
"17AAG","NCIH441","LUNG","0.170633957","CCLE"
"17AAG","NCIH460","LUNG","0.0637509","CCLE"
