"drug","cell_line","tissue_type","ic50","source"
"GSK650394","ML2","BLOOD","209.80","COSMIC"
"GSK650394","MLMA","BLOOD","368.93","COSMIC"
"GSK650394","MMACSF","SKIN","41.58","COSMIC"
"GSK650394","MN60","BLOOD","2230.77","COSMIC"
"GSK650394","MOLT16","BLOOD","3.50","COSMIC"
"GSK650394","MOLT4","BLOOD","41.33","COSMIC"
"GSK650394","MONOMAC6","BLOOD","1.18","COSMIC"
"GSK650394","MoT","BLOOD","307.62","COSMIC"
"GSK650394","MPP89","LUNG","9.21","COSMIC"
"GSK650394","MRKnu1","BREAST","7.01","COSMIC"
"GSK650394","MS1","LUNG","76.02","COSMIC"
"GSK650394","MSTO211H","LUNG","3130.55","COSMIC"
"GSK650394","MV411","BLOOD","0.17","COSMIC"
"GSK650394","MZ1PC","PANCREAS","30.80","COSMIC"
"GSK650394","MZ2MEL","SKIN","6.58","COSMIC"
"GSK650394","MZ7mel","SKIN","47.69","COSMIC"
"GSK650394","NALM6","BLOOD","9.67","COSMIC"
"GSK650394","NB10","CENTRAL:NERVOUS:SYSTEM","52.80","COSMIC"
"GSK650394","NB12","CENTRAL:NERVOUS:SYSTEM","165.20","COSMIC"
"GSK650394","NB13","CENTRAL:NERVOUS:SYSTEM","86.46","COSMIC"
"GSK650394","NB1","CENTRAL:NERVOUS:SYSTEM","120.13","COSMIC"
"GSK650394","NB5","CENTRAL:NERVOUS:SYSTEM","97.45","COSMIC"
"GSK650394","NB69","CENTRAL:NERVOUS:SYSTEM","51.29","COSMIC"
"GSK650394","NB6","CENTRAL:NERVOUS:SYSTEM","743.13","COSMIC"
"GSK650394","NCCIT","OTHER","538.21","COSMIC"
"GSK650394","NCIH1092","LUNG","495.03","COSMIC"
"GSK650394","NCIH1155","LUNG","4190.49","COSMIC"
"GSK650394","NCIH1299","LUNG","5.95","COSMIC"
"GSK650394","NCIH1304","LUNG","28.47","COSMIC"
"GSK650394","NCIH1355","LUNG","34.71","COSMIC"
"GSK650394","NCIH1395","LUNG","950.43","COSMIC"
"GSK650394","NCIH1417","LUNG","238.40","COSMIC"
"GSK650394","NCIH1436","LUNG","131.25","COSMIC"
"GSK650394","NCIH1437","LUNG","6.10","COSMIC"
"GSK650394","NCIH1522","LUNG","4172.14","COSMIC"
"GSK650394","NCIH1563","LUNG","848.75","COSMIC"
"GSK650394","NCIH1573","LUNG","35.97","COSMIC"
"GSK650394","NCIH1581","LUNG","1734.84","COSMIC"
"GSK650394","NCIH1618","LUNG","41.55","COSMIC"
"GSK650394","NCIH1623","LUNG","698.44","COSMIC"
"GSK650394","NCIH1648","LUNG","21.79","COSMIC"
"GSK650394","NCIH1650","LUNG","202.68","COSMIC"
"GSK650394","NCIH1651","LUNG","26.20","COSMIC"
"GSK650394","NCIH1693","LUNG","189.04","COSMIC"
"GSK650394","NCIH1694","LUNG","1380.60","COSMIC"
"GSK650394","NCIH1703","LUNG","96.55","COSMIC"
"GSK650394","NCIH1734","LUNG","97.37","COSMIC"
"GSK650394","NCIH1755","LUNG","665.28","COSMIC"
"GSK650394","NCIH1770","LUNG","9.96","COSMIC"
"GSK650394","NCIH1792","LUNG","23.34","COSMIC"
"GSK650394","NCIH1793","LUNG","1481.42","COSMIC"
"GSK650394","NCIH1838","LUNG","1579.18","COSMIC"
"GSK650394","NCIH187","LUNG","928.24","COSMIC"
"GSK650394","NCIH1882","LUNG","2538.95","COSMIC"
"GSK650394","NCIH1963","LUNG","435.03","COSMIC"
"GSK650394","NCIH1993","LUNG","1995.88","COSMIC"
"GSK650394","NCIH2009","LUNG","3.74","COSMIC"
"GSK650394","NCIH2030","LUNG","26.08","COSMIC"
"GSK650394","NCIH2052","LUNG","281.05","COSMIC"
"GSK650394","NCIH2081","LUNG","286.08","COSMIC"
"GSK650394","NCIH2087","LUNG","13.31","COSMIC"
"GSK650394","NCIH209","LUNG","65.27","COSMIC"
"GSK650394","NCIH2122","LUNG","3.32","COSMIC"
"GSK650394","NCIH2126","LUNG","1284.07","COSMIC"
"GSK650394","NCIH2141","LUNG","348.20","COSMIC"
"GSK650394","NCIH2170","LUNG","24.55","COSMIC"
"GSK650394","NCIH2171","LUNG","858.36","COSMIC"
"GSK650394","NCIH2196","LUNG","98.05","COSMIC"
"GSK650394","NCIH2227","LUNG","2764.86","COSMIC"
"GSK650394","NCIH2228","LUNG","4.62","COSMIC"
"GSK650394","NCIH226","LUNG","15.50","COSMIC"
"GSK650394","NCIH2342","LUNG","2.19","COSMIC"
"GSK650394","NCIH2347","LUNG","60.75","COSMIC"
"GSK650394","NCIH23","LUNG","2287.52","COSMIC"
"GSK650394","NCIH2405","LUNG","83.44","COSMIC"
"GSK650394","NCIH2452","LUNG","1593.41","COSMIC"
"GSK650394","NCIH28","LUNG","199.14","COSMIC"
"GSK650394","NCIH292","LUNG","31.36","COSMIC"
"GSK650394","NCIH322M","LUNG","2913.42","COSMIC"
"GSK650394","NCIH345","LUNG","2378.69","COSMIC"
"GSK650394","NCIH358","LUNG","6.21","COSMIC"
"GSK650394","NCIH441","LUNG","67.42","COSMIC"
"GSK650394","NCIH446","LUNG","139.35","COSMIC"
"GSK650394","NCIH460","LUNG","3.39","COSMIC"
"GSK650394","NCIH510A","LUNG","38.20","COSMIC"
"GSK650394","NCIH520","LUNG","17.02","COSMIC"
"GSK650394","NCIH522","LUNG","12.92","COSMIC"
"GSK650394","NCIH524","LUNG","496.11","COSMIC"
"GSK650394","NCIH526","LUNG","6.01","COSMIC"
"GSK650394","NCIH596","LUNG","392.06","COSMIC"
"GSK650394","NCIH64","LUNG","16.35","COSMIC"
"GSK650394","NCIH650","LUNG","6.60","COSMIC"
"GSK650394","NCIH661","LUNG","22.95","COSMIC"
"GSK650394","NCIH69","LUNG","7.62","COSMIC"
"GSK650394","NCIH716","GI:TRACT","929.72","COSMIC"
"GSK650394","NCIH719","LUNG","1289.33","COSMIC"
"GSK650394","NCIH720","LUNG","2478.18","COSMIC"
"GSK650394","NCIH727","LUNG","49.08","COSMIC"
"GSK650394","NCIH747","GI:TRACT","192.35","COSMIC"
"GSK650394","NCIH748","LUNG","114.16","COSMIC"
"GSK650394","NCIH810","LUNG","77.37","COSMIC"
"GSK650394","NCIH82","LUNG","50.30","COSMIC"
"GSK650394","NCIH838","LUNG","376.77","COSMIC"
"GSK650394","NCIH889","LUNG","194.78","COSMIC"
"GSK650394","NCIN87","GI:TRACT","1695.85","COSMIC"
"GSK650394","NCISNU16","GI:TRACT","3189.78","COSMIC"
"GSK650394","NCISNU1","GI:TRACT","98.28","COSMIC"
"GSK650394","NCISNU5","GI:TRACT","2907.04","COSMIC"
"GSK650394","NEC8","OTHER","53.25","COSMIC"
"GSK650394","NH12","CENTRAL:NERVOUS:SYSTEM","12.22","COSMIC"
"GSK650394","NKM1","BLOOD","2.76","COSMIC"
"GSK650394","NMCG1","CENTRAL:NERVOUS:SYSTEM","234.21","COSMIC"
"GSK650394","no10","CENTRAL:NERVOUS:SYSTEM","195.85","COSMIC"
"GSK650394","no11","CENTRAL:NERVOUS:SYSTEM","181.16","COSMIC"
"GSK650394","NOMO1","BLOOD","146.43","COSMIC"
"GSK650394","NOS1","BONE","18.80","COSMIC"
"GSK650394","NTERASclD1","OTHER","3.53","COSMIC"
"GSK650394","NUGC3","GI:TRACT","33.24","COSMIC"
"GSK650394","NY","BONE","150.09","COSMIC"
"GSK650394","OAW28","OVARY","93.14","COSMIC"
"GSK650394","OAW42","OVARY","34.72","COSMIC"
"GSK650394","OCIAML2","BLOOD","20.50","COSMIC"
"GSK650394","OCUBM","BREAST","2.78","COSMIC"
"GSK650394","OE19","UPPER:AERODIGESTIVE:TRACT","30.39","COSMIC"
"GSK650394","OE33","UPPER:AERODIGESTIVE:TRACT","4.94","COSMIC"
"GSK650394","OMC1","UTERUS","260.52","COSMIC"
"GSK650394","ONS76","CENTRAL:NERVOUS:SYSTEM","4.12","COSMIC"
"GSK650394","OPM2","BLOOD","1159.69","COSMIC"
"GSK650394","OSRC2","KIDNEY","50.76","COSMIC"
"GSK650394","OVCAR3","OVARY","222.68","COSMIC"
"GSK650394","OVCAR4","OVARY","35.87","COSMIC"
"GSK650394","OVCAR5","OVARY","997.91","COSMIC"
"GSK650394","OVCAR8","OVARY","11.18","COSMIC"
"GSK650394","P12ICHIKAWA","BLOOD","16.22","COSMIC"
"GSK650394","P30OHK","BLOOD","6.18","COSMIC"
"GSK650394","P31FUJ","BLOOD","2743.44","COSMIC"
"GSK650394","PA1","OVARY","3.32","COSMIC"
"GSK650394","PANC0327","PANCREAS","95.64","COSMIC"
"GSK650394","PANC0813","PANCREAS","1000.90","COSMIC"
"GSK650394","PANC1005","PANCREAS","11.33","COSMIC"
"GSK650394","PC14","LUNG","49.41","COSMIC"
"GSK650394","PC3","OTHER","745.28","COSMIC"
"GSK650394","PF382","BLOOD","43.55","COSMIC"
"GSK650394","PFSK1","CENTRAL:NERVOUS:SYSTEM","129.96","COSMIC"
"GSK650394","PLCPRF5","OTHER","2356.03","COSMIC"
"GSK650394","PSN1","PANCREAS","2.18","COSMIC"
"GSK650394","QIMRWIL","BLOOD","8.74","COSMIC"
"GSK650394","Raji","BLOOD","43.86","COSMIC"
"GSK650394","Ramos2G64C10","BLOOD","56.16","COSMIC"
"GSK650394","RCC10RGB","KIDNEY","909.91","COSMIC"
"GSK650394","RCM1","GI:TRACT","282.85","COSMIC"
"GSK650394","RD","SOFT:TISSUE","188.72","COSMIC"
"GSK650394","REH","BLOOD","46.65","COSMIC"
"GSK650394","RERFLCMS","LUNG","695.66","COSMIC"
"GSK650394","RH1","SOFT:TISSUE","7.69","COSMIC"
"GSK650394","RKO","GI:TRACT","1.58","COSMIC"
"GSK650394","RL","BLOOD","2901.54","COSMIC"
"GSK650394","RMGI","OVARY","107.67","COSMIC"
"GSK650394","RO82W1","THYROID","71.26","COSMIC"
"GSK650394","RPMI2650","UPPER:AERODIGESTIVE:TRACT","20.79","COSMIC"
"GSK650394","RPMI6666","BLOOD","16.06","COSMIC"
"GSK650394","RPMI7951","SKIN","53.44","COSMIC"
"GSK650394","RPMI8226","BLOOD","644.71","COSMIC"
"GSK650394","RPMI8402","BLOOD","409.69","COSMIC"
"GSK650394","RPMI8866","BLOOD","3688.09","COSMIC"
"GSK650394","RS411","BLOOD","8.90","COSMIC"
"GSK650394","RT112","BLADDER","1.03","COSMIC"
"GSK650394","RT4","BLADDER","57.27","COSMIC"
"GSK650394","RVH421","SKIN","2455.80","COSMIC"
"GSK650394","RXF393","KIDNEY","204.77","COSMIC"
"GSK650394","S117","SOFT:TISSUE","1511.85","COSMIC"
"GSK650394","Saos2","BONE","92.30","COSMIC"
"GSK650394","SAS","UPPER:AERODIGESTIVE:TRACT","116.49","COSMIC"
"GSK650394","SBC1","LUNG","1744.21","COSMIC"
"GSK650394","SBC5","LUNG","14.83","COSMIC"
"GSK650394","SCC15","UPPER:AERODIGESTIVE:TRACT","1105.28","COSMIC"
"GSK650394","SCC25","UPPER:AERODIGESTIVE:TRACT","96.82","COSMIC"
"GSK650394","SCC3","BLOOD","154.60","COSMIC"
"GSK650394","SCC4","UPPER:AERODIGESTIVE:TRACT","17.77","COSMIC"
"GSK650394","SCC9","UPPER:AERODIGESTIVE:TRACT","393.47","COSMIC"
"GSK650394","SCH","GI:TRACT","2699.22","COSMIC"
"GSK650394","SCLC21H","LUNG","17.01","COSMIC"
"GSK650394","SF126","CENTRAL:NERVOUS:SYSTEM","8.74","COSMIC"
"GSK650394","SF268","CENTRAL:NERVOUS:SYSTEM","15.92","COSMIC"
"GSK650394","SF295","CENTRAL:NERVOUS:SYSTEM","7.55","COSMIC"
"GSK650394","SF539","CENTRAL:NERVOUS:SYSTEM","666.21","COSMIC"
"GSK650394","SH4","SKIN","40.71","COSMIC"
"GSK650394","SHP77","LUNG","901.69","COSMIC"
"GSK650394","SIGM5","BLOOD","4.85","COSMIC"
"GSK650394","SiHa","UTERUS","1619.68","COSMIC"
"GSK650394","SIMA","CENTRAL:NERVOUS:SYSTEM","256.01","COSMIC"
"GSK650394","SJRH30","SOFT:TISSUE","94.22","COSMIC"
"GSK650394","SJSA1","BONE","14.96","COSMIC"
"GSK650394","SKCO1","GI:TRACT","114.96","COSMIC"
"GSK650394","SKGIIIa","UTERUS","477.10","COSMIC"
"GSK650394","SKHEP1","LIVER","6.31","COSMIC"
"GSK650394","SKLMS1","SOFT:TISSUE","5.36","COSMIC"
"GSK650394","SKLU1","LUNG","3.95","COSMIC"
"GSK650394","SKMEL1","SKIN","2565.15","COSMIC"
"GSK650394","SKMEL24","SKIN","1292.55","COSMIC"
"GSK650394","SKMEL28","SKIN","920.04","COSMIC"
"GSK650394","SKMEL2","SKIN","546.27","COSMIC"
"GSK650394","SKMEL30","SKIN","7.92","COSMIC"
"GSK650394","SKMEL3","SKIN","29.71","COSMIC"
"GSK650394","SKMES1","LUNG","15.83","COSMIC"
"GSK650394","SKMM2","BLOOD","2288.44","COSMIC"
"GSK650394","SKNAS","CENTRAL:NERVOUS:SYSTEM","1036.23","COSMIC"
"GSK650394","SKNDZ","CENTRAL:NERVOUS:SYSTEM","133.97","COSMIC"
"GSK650394","SKNEP1","KIDNEY","126.66","COSMIC"
"GSK650394","SKNFI","CENTRAL:NERVOUS:SYSTEM","3920.90","COSMIC"
"GSK650394","SKOV3","OVARY","66.54","COSMIC"
"GSK650394","SKPNDW","BONE","14.09","COSMIC"
"GSK650394","SKUT1","SOFT:TISSUE","11.74","COSMIC"
"GSK650394","SN12C","KIDNEY","54.31","COSMIC"
"GSK650394","SNB75","CENTRAL:NERVOUS:SYSTEM","235.33","COSMIC"
"GSK650394","SNGM","UTERUS","1.80","COSMIC"
"GSK650394","SNU387","LIVER","176.40","COSMIC"
"GSK650394","SNU423","LIVER","53.62","COSMIC"
"GSK650394","SNU449","LIVER","16.28","COSMIC"
"GSK650394","SNU475","OTHER","300.77","COSMIC"
"GSK650394","SNUC1","GI:TRACT","714.29","COSMIC"
"GSK650394","SNUC2B","GI:TRACT","119.91","COSMIC"
"GSK650394","SR","BLOOD","41.87","COSMIC"
"GSK650394","ST486","BLOOD","20.84","COSMIC"
"GSK650394","SUDHL1","BLOOD","3332.82","COSMIC"
"GSK650394","SUPT1","BLOOD","78.62","COSMIC"
"GSK650394","SW1088","CENTRAL:NERVOUS:SYSTEM","404.25","COSMIC"
"GSK650394","SW13","OTHER","223.91","COSMIC"
"GSK650394","SW1417","GI:TRACT","1539.69","COSMIC"
"GSK650394","SW1463","GI:TRACT","52.73","COSMIC"
"GSK650394","SW1573","LUNG","776.84","COSMIC"
"GSK650394","SW1710","BLADDER","2.69","COSMIC"
"GSK650394","SW1783","CENTRAL:NERVOUS:SYSTEM","93.76","COSMIC"
"GSK650394","SW1990","PANCREAS","36.49","COSMIC"
"GSK650394","SW48","GI:TRACT","96.32","COSMIC"
"GSK650394","SW620","GI:TRACT","1.92","COSMIC"
"GSK650394","SW626","OVARY","25.12","COSMIC"
"GSK650394","SW684","SOFT:TISSUE","1379.63","COSMIC"
"GSK650394","SW756","UTERUS","669.00","COSMIC"
"GSK650394","SW780","BLADDER","602.15","COSMIC"
"GSK650394","SW837","GI:TRACT","31.45","COSMIC"
"GSK650394","SW872","SOFT:TISSUE","13.58","COSMIC"
"GSK650394","SW948","GI:TRACT","74.84","COSMIC"
"GSK650394","SW954","UTERUS","4.44","COSMIC"
"GSK650394","SW962","UTERUS","93.47","COSMIC"
"GSK650394","SW982","SOFT:TISSUE","13.68","COSMIC"
"GSK650394","T24","BLADDER","948.63","COSMIC"
"GSK650394","T47D","BREAST","744.68","COSMIC"
"GSK650394","T84","GI:TRACT","2.60","COSMIC"
"GSK650394","T98G","CENTRAL:NERVOUS:SYSTEM","143.94","COSMIC"
"GSK650394","TALL1","BLOOD","828.93","COSMIC"
"GSK650394","TCCSUP","BLADDER","1445.24","COSMIC"
"GSK650394","TE10","UPPER:AERODIGESTIVE:TRACT","14.38","COSMIC"
"GSK650394","TE11","UPPER:AERODIGESTIVE:TRACT","23.34","COSMIC"
"GSK650394","TE12","UPPER:AERODIGESTIVE:TRACT","1.99","COSMIC"
"GSK650394","TE15","UPPER:AERODIGESTIVE:TRACT","2.58","COSMIC"
"GSK650394","TE1","UPPER:AERODIGESTIVE:TRACT","639.21","COSMIC"
"GSK650394","TE441T","SOFT:TISSUE","251.56","COSMIC"
"GSK650394","TE5","UPPER:AERODIGESTIVE:TRACT","47.09","COSMIC"
"GSK650394","TE6","UPPER:AERODIGESTIVE:TRACT","848.49","COSMIC"
"GSK650394","TE8","UPPER:AERODIGESTIVE:TRACT","4.10","COSMIC"
"GSK650394","TE9","UPPER:AERODIGESTIVE:TRACT","16.36","COSMIC"
"GSK650394","TGBC1TKB","GI:TRACT","292.28","COSMIC"
"GSK650394","TGBC24TKB","GI:TRACT","216.71","COSMIC"
"GSK650394","TGW","CENTRAL:NERVOUS:SYSTEM","90.37","COSMIC"
"GSK650394","THP1","BLOOD","1346.48","COSMIC"
"GSK650394","TK10","KIDNEY","99.93","COSMIC"
"GSK650394","TT","THYROID","118.13","COSMIC"
"GSK650394","TUR","BLOOD","4.65","COSMIC"
"GSK650394","TYKnu","OVARY","304.14","COSMIC"
"GSK650394","U031","KIDNEY","32.60","COSMIC"
"GSK650394","U118MG","CENTRAL:NERVOUS:SYSTEM","130.02","COSMIC"
"GSK650394","U251","CENTRAL:NERVOUS:SYSTEM","54.05","COSMIC"
"GSK650394","U266","BLOOD","506.15","COSMIC"
"GSK650394","U2OS","BONE","788.15","COSMIC"
"GSK650394","U698M","BLOOD","101.99","COSMIC"
"GSK650394","U87MG","CENTRAL:NERVOUS:SYSTEM","386.59","COSMIC"
"GSK650394","UACC257","SKIN","378.77","COSMIC"
"GSK650394","UACC62","SKIN","2166.33","COSMIC"
"GSK650394","UACC812","BREAST","3758.99","COSMIC"
"GSK650394","UACC893","BREAST","1182.10","COSMIC"
"GSK650394","UMC11","LUNG","18.77","COSMIC"
"GSK650394","UMUC3","BLADDER","9.51","COSMIC"
"GSK650394","VAESBJ","SOFT:TISSUE","8.98","COSMIC"
"GSK650394","VMCUB1","BLADDER","20.89","COSMIC"
"GSK650394","VMRCRCZ","KIDNEY","16.20","COSMIC"
"GSK650394","WM115","SKIN","815.32","COSMIC"
"GSK650394","WSUNHL","BLOOD","50.71","COSMIC"
"GSK650394","YAPC","PANCREAS","1969.99","COSMIC"
"GSK650394","YKG1","CENTRAL:NERVOUS:SYSTEM","7.35","COSMIC"
"GSK650394","YT","BLOOD","9.83","COSMIC"
"GW441756","22RV1","PROSTATE","11.52","COSMIC"
"GW441756","2313287","GI:TRACT","56.38","COSMIC"
"GW441756","5637","BLADDER","180.49","COSMIC"
"GW441756","639V","BLADDER","59.30","COSMIC"
"GW441756","647V","BLADDER","92.98","COSMIC"
"GW441756","697","BLOOD","126.96","COSMIC"
"GW441756","769P","KIDNEY","89.29","COSMIC"
"GW441756","7860","KIDNEY","50.02","COSMIC"
"GW441756","8305C","THYROID","229.28","COSMIC"
"GW441756","8505C","THYROID","50.88","COSMIC"
"GW441756","8MGBA","CENTRAL:NERVOUS:SYSTEM","132.01","COSMIC"
"GW441756","A101D","SKIN","77.70","COSMIC"
"GW441756","A172","CENTRAL:NERVOUS:SYSTEM","284.95","COSMIC"
"GW441756","A204","SOFT:TISSUE","20.49","COSMIC"
"GW441756","A2058","SKIN","45.57","COSMIC"
"GW441756","A2780","OVARY","14.80","COSMIC"
"GW441756","A375","SKIN","188.12","COSMIC"
"GW441756","A388","OTHER","120.91","COSMIC"
"GW441756","A3KAW","GI:TRACT","204.35","COSMIC"
"GW441756","A427","LUNG","27.66","COSMIC"
"GW441756","A431","SKIN","122.36","COSMIC"
"GW441756","A498","KIDNEY","7.64","COSMIC"
"GW441756","A4Fuk","SKIN","87.83","COSMIC"
"GW441756","A549","LUNG","72.72","COSMIC"
"GW441756","A673","SOFT:TISSUE","86.32","COSMIC"
"GW441756","A704","KIDNEY","152.34","COSMIC"
"GW441756","ABC1","LUNG","5.69","COSMIC"
"GW441756","ACHN","KIDNEY","69.13","COSMIC"
"GW441756","ACN","CENTRAL:NERVOUS:SYSTEM","0.87","COSMIC"
"GW441756","AGS","GI:TRACT","63.03","COSMIC"
"GW441756","ALLPO","BLOOD","125.36","COSMIC"
"GW441756","AM38","CENTRAL:NERVOUS:SYSTEM","49.63","COSMIC"
"GW441756","AN3CA","UTERUS","97.16","COSMIC"
"GW441756","AsPC1","PANCREAS","80.65","COSMIC"
"GW441756","ATN1","BLOOD","56.85","COSMIC"
"GW441756","AU565","BREAST","19.01","COSMIC"
"GW441756","BALL1","BLOOD","93.85","COSMIC"
"GW441756","BB30HNC","UPPER:AERODIGESTIVE:TRACT","114.60","COSMIC"
"GW441756","BB49HNC","UPPER:AERODIGESTIVE:TRACT","213.79","COSMIC"
"GW441756","BB65RCC","KIDNEY","78.35","COSMIC"
"GW441756","BCPAP","THYROID","64.90","COSMIC"
"GW441756","BE13","BLOOD","90.67","COSMIC"
"GW441756","Becker","CENTRAL:NERVOUS:SYSTEM","153.19","COSMIC"
"GW441756","BEN","LUNG","82.69","COSMIC"
"GW441756","BFTC905","BLADDER","20.13","COSMIC"
"GW441756","BFTC909","KIDNEY","42.04","COSMIC"
"GW441756","BHT101","THYROID","2.78","COSMIC"
"GW441756","BHY","UPPER:AERODIGESTIVE:TRACT","75.98","COSMIC"
"GW441756","BPH1","OTHER","90.87","COSMIC"
"GW441756","BT20","BREAST","186.87","COSMIC"
"GW441756","BT474","BREAST","28.43","COSMIC"
"GW441756","BT549","BREAST","3.11","COSMIC"
"GW441756","BV173","BLOOD","17.99","COSMIC"
"GW441756","BxPC3","PANCREAS","40.00","COSMIC"
"GW441756","C2BBe1","GI:TRACT","69.42","COSMIC"
"GW441756","C32","SKIN","78.10","COSMIC"
"GW441756","C33A","UTERUS","14.73","COSMIC"
"GW441756","C3A","LIVER","214.98","COSMIC"
"GW441756","C8166","BLOOD","88.37","COSMIC"
"GW441756","Ca922","UPPER:AERODIGESTIVE:TRACT","174.58","COSMIC"
"GW441756","CAKI1","KIDNEY","140.34","COSMIC"
"GW441756","CAL120","BREAST","204.69","COSMIC"
"GW441756","CAL12T","LUNG","76.33","COSMIC"
"GW441756","CAL27","UPPER:AERODIGESTIVE:TRACT","94.85","COSMIC"
"GW441756","CAL33","UPPER:AERODIGESTIVE:TRACT","6.39","COSMIC"
"GW441756","CAL39","UTERUS","142.16","COSMIC"
"GW441756","CAL51","BREAST","160.91","COSMIC"
"GW441756","CAL54","KIDNEY","20.77","COSMIC"
"GW441756","CAL62","THYROID","85.55","COSMIC"
"GW441756","CAL72","BONE","18.78","COSMIC"
"GW441756","CAL851","BREAST","211.10","COSMIC"
"GW441756","Calu3","LUNG","89.66","COSMIC"
"GW441756","Calu6","LUNG","135.10","COSMIC"
"GW441756","CAMA1","BREAST","35.55","COSMIC"
"GW441756","CAPAN1","PANCREAS","31.26","COSMIC"
"GW441756","Capan2","PANCREAS","141.00","COSMIC"
"GW441756","CaR1","GI:TRACT","101.66","COSMIC"
"GW441756","CAS1","CENTRAL:NERVOUS:SYSTEM","200.61","COSMIC"
"GW441756","CaSki","UTERUS","13.29","COSMIC"
"GW441756","CCRFCEM","BLOOD","218.16","COSMIC"
"GW441756","CFPAC1","PANCREAS","46.38","COSMIC"
"GW441756","CGTHW1","THYROID","28.65","COSMIC"
"GW441756","ChaGoK1","LUNG","7.45","COSMIC"
"GW441756","CHL1","SKIN","117.01","COSMIC"
"GW441756","CHP212","CENTRAL:NERVOUS:SYSTEM","252.67","COSMIC"
"GW441756","COLO320HSR","GI:TRACT","91.26","COSMIC"
"GW441756","COLO668","LUNG","69.51","COSMIC"
"GW441756","COLO678","GI:TRACT","12.14","COSMIC"
"GW441756","COLO679","SKIN","219.82","COSMIC"
"GW441756","COLO680N","UPPER:AERODIGESTIVE:TRACT","85.43","COSMIC"
"GW441756","COLO684","UTERUS","30.49","COSMIC"
"GW441756","COLO741","GI:TRACT","130.63","COSMIC"
"GW441756","COLO792","SKIN","28.27","COSMIC"
"GW441756","COLO800","SKIN","88.85","COSMIC"
"GW441756","COLO824","BREAST","160.86","COSMIC"
"GW441756","COLO829","SKIN","78.14","COSMIC"
"GW441756","CORL105","LUNG","0.50","COSMIC"
"GW441756","CORL23","LUNG","229.83","COSMIC"
"GW441756","CORL88","LUNG","48.39","COSMIC"
"GW441756","CP50MELB","SKIN","335.99","COSMIC"
"GW441756","CP66MEL","SKIN","171.19","COSMIC"
"GW441756","CTB1","BLOOD","55.60","COSMIC"
"GW441756","CTV1","BLOOD","43.63","COSMIC"
"GW441756","CW2","GI:TRACT","199.00","COSMIC"
"GW441756","D247MG","CENTRAL:NERVOUS:SYSTEM","165.68","COSMIC"
"GW441756","D263MG","CENTRAL:NERVOUS:SYSTEM","202.32","COSMIC"
"GW441756","D283MED","CENTRAL:NERVOUS:SYSTEM","80.90","COSMIC"
"GW441756","D336MG","CENTRAL:NERVOUS:SYSTEM","158.63","COSMIC"
"GW441756","D392MG","CENTRAL:NERVOUS:SYSTEM","11.11","COSMIC"
"GW441756","D423MG","CENTRAL:NERVOUS:SYSTEM","236.55","COSMIC"
"GW441756","D502MG","CENTRAL:NERVOUS:SYSTEM","66.76","COSMIC"
"GW441756","D542MG","CENTRAL:NERVOUS:SYSTEM","76.24","COSMIC"
"GW441756","D566MG","CENTRAL:NERVOUS:SYSTEM","153.91","COSMIC"
"GW441756","Daoy","CENTRAL:NERVOUS:SYSTEM","71.85","COSMIC"
"GW441756","DB","BLOOD","63.53","COSMIC"
"GW441756","DBTRG05MG","CENTRAL:NERVOUS:SYSTEM","51.24","COSMIC"
"GW441756","DEL","BLOOD","42.95","COSMIC"
"GW441756","DJM1","SKIN","213.64","COSMIC"
"GW441756","DKMG","CENTRAL:NERVOUS:SYSTEM","104.33","COSMIC"
"GW441756","DMS114","LUNG","22.25","COSMIC"
"GW441756","DMS273","LUNG","42.19","COSMIC"
"GW441756","DMS79","LUNG","171.22","COSMIC"
"GW441756","DOHH2","BLOOD","172.21","COSMIC"
"GW441756","DOK","UPPER:AERODIGESTIVE:TRACT","109.55","COSMIC"
"GW441756","DoTc24510","UTERUS","56.79","COSMIC"
"GW441756","DSH1","BLADDER","9.98","COSMIC"
"GW441756","DU145","PROSTATE","4.00","COSMIC"
"GW441756","DU4475","BREAST","113.69","COSMIC"
"GW441756","ECC10","GI:TRACT","167.22","COSMIC"
"GW441756","ECGI10","UPPER:AERODIGESTIVE:TRACT","82.35","COSMIC"
"GW441756","EFM19","BREAST","11.06","COSMIC"
"GW441756","EFO21","OVARY","162.02","COSMIC"
"GW441756","EFO27","OVARY","59.09","COSMIC"
"GW441756","EGI1","GI:TRACT","35.77","COSMIC"
"GW441756","EKVX","LUNG","23.38","COSMIC"
"GW441756","EM2","BLOOD","17.66","COSMIC"
"GW441756","EoL1cell","BLOOD","23.68","COSMIC"
"GW441756","EPLC272H","LUNG","29.10","COSMIC"
"GW441756","ES1","BONE","10.67","COSMIC"
"GW441756","ES3","BONE","57.05","COSMIC"
"GW441756","ES4","BONE","38.68","COSMIC"
"GW441756","ES5","BONE","7.87","COSMIC"
"GW441756","ES6","BONE","77.39","COSMIC"
"GW441756","ES7","BONE","16.04","COSMIC"
"GW441756","ES8","BONE","28.09","COSMIC"
"GW441756","ESS1","UTERUS","23.72","COSMIC"
"GW441756","ETK1","GI:TRACT","10.35","COSMIC"
"GW441756","EW11","BONE","59.06","COSMIC"
"GW441756","EW13","BONE","104.22","COSMIC"
"GW441756","EW16","BONE","57.56","COSMIC"
"GW441756","EW18","BONE","105.41","COSMIC"
"GW441756","EW1","BONE","14.02","COSMIC"
