"cell_line","drug","ref"
"5637","NU7441","50.880"
"5637#","Nutlin3","8"
"5637","Nutlin3a","597.786"
"5637","NVPBEZ235","0.080"
"5637","ObatoclaxM","0.084"
"5637","OSI906","13.666"
"5637","PAC1","12.630"
"5637#","Paclitaxel","0.00292016"
"5637#","Panobinost","0.04879194"
"5637","Pazopanib","262.212"
"5637","PD0325901","14.906"
"5637#","PD0325901","8"
"5637","PD0332991","353.943"
"5637#","PD0332991","8"
"5637","PD173074","133.423"
"5637#","PF2341066","7.23560380"
"5637","PF562271","2.915"
"5637#","PHA665752","8"
"5637","PLX4720","19.865"
"5637#","PLX4720","3.73845243"
"5637","QS11","4.160"
"5637#","RAF265","1.06466555"
"5637","RDEA119","8.218"
"5637","RO3306","3.075"
"5637","SB216763","25.556"
"5637","SB590885","162.782"
"5637","Shikonin","202.946"
"5637","SL01011","558.770"
"5637#","Sorafenib","7.16613626"
"5637#","TAE684","2.47309446"
"5637","Temsirolim","0.626"
"5637","Thapsigarg","0.012"
"5637","Tipifarnib","1.029"
"5637#","TKI258","5.96220207"
"5637#","Topotecan","0.17350183"
"5637","Vinblastin","0.001"
"5637","Vinorelbin","0.008"
"5637","Vorinostat","2.315"
"5637","VX702","178.828"
"5637#","ZD6474","3.39840340"
"5637","ZM447439","9.383"
"639V#","17AAG","0.15009449"
"639V","17AAG","0.151"
"639V","681640","5.376"
"639V","A769662","29.546"
"639V","ABT263","51.539"
"639V","ABT888","325.640"
"639V#","AEW541","1.73618137"
"639V","AICAR","2238.566"
"639V","AKTinhibit","19.341"
"639V","AMG706","51.405"
"639V","AP24534","2.447"
"639V","AS601245","4.812"
"639V","ATRA","624.280"
"639V","AUY922","0.005"
"639V","Axitinib","50.476"
"639V#","AZD0530","8"
"639V","AZD2281","64.467"
"639V","AZD6244","6.096"
"639V#","AZD6244","8"
"639V","AZD6482","1.629"
"639V","AZD7762","1.166"
"639V","AZD8055","2.421"
"639V","BAY613606","1.426"
"639V","Bexarotene","29.343"
"639V","BIBW2992","31.195"
"639V","Bicalutami","54.157"
"639V","BID1870","2.709"
"639V","BIRB0796","181.342"
"639V","Bleomycin","0.221"
"639V","BMS754807","0.990"
"639V","Bosutinib","98.342"
"639V","Bryostatin","0.079"
"639V","BX795","7.418"
"639V","Camptothec","0.000"
"639V","CEP701","0.690"
"639V","CHIR99021","146.458"
"639V","CI1040","9.577"
"639V","Cisplatin","5.857"
"639V","Cytarabine","27.313"
"639V","DMOG","1490.602"
"639V","Docetaxel","0.001"
"639V","Doxorubici","0.016"
"639V","Elesclomol","0.017"
"639V","Embelin","171.170"
"639V","Epothilone","0.000"
"639V#","Erlotinib","8"
"639V","Etoposide","1.008"
"639V","FH535","1.608"
"639V","FTI277","45.296"
"639V","GDC0449","427.417"
"639V","GDC0941","1.501"
"639V","Gefitinib","3.564"
"639V","Gemcitabin","0.194"
"639V","GSK650394","5.145"
"639V","GW441756","59.300"
"639V","IPA3","44.553"
"639V#","Irinotecan","0.06956872"
"639V","JNK9L","0.221"
"639V","JNKInhibit","64.204"
"639V","KU55933","27.235"
"639V#","L685458","8"
"639V#","Lapatinib","8"
"639V#","LBW242","8"
"639V","Lenalidomi","231.536"
"639V","LFMA13","447.429"
"639V","Metformin","63522.611"
"639V","Methotrexa","6.288"
"639V","Midostauri","0.921"
"639V","MitomycinC","0.002"
"639V","MK2206","18.173"
"639V#","Nilotinib","8"
"639V","Nilotinib","97.202"
"639V","NSC87877","27.382"
"639V","NU7441","1.440"
"639V#","Nutlin3","8"
"639V","Nutlin3a","279.850"
"639V","NVPBEZ235","0.086"
"639V","ObatoclaxM","0.157"
"639V","OSI906","26.753"
"639V","PAC1","166.674"
"639V#","Paclitaxel","8"
"639V#","Panobinost","0.08150626"
"639V","Pazopanib","308.111"
"639V","PD0325901","0.728"
"639V#","PD0325901","8"
"639V","PD0332991","68.529"
"639V#","PD0332991","8"
"639V","PD173074","116.901"
"639V#","PF2341066","5.66252708"
"639V","PF562271","6.712"
"639V#","PHA665752","8"
"639V","PLX4720","777.922"
"639V#","PLX4720","8"
"639V","QS11","1.149"
"639V#","RAF265","2.77999830"
"639V","RDEA119","9.494"
"639V","RO3306","2.270"
"639V","SB216763","170.370"
"639V","SB590885","411.568"
"639V","Shikonin","0.266"
"639V","SL01011","45.337"
"639V#","Sorafenib","8"
"639V#","TAE684","2.21758079"
"639V","Temsirolim","0.342"
"639V","Thapsigarg","0.001"
"639V","Tipifarnib","1.193"
"639V#","TKI258","3.31395745"
"639V#","Topotecan","0.04371729"
"639V","Vinblastin","0.006"
"639V","Vinorelbin","0.007"
"639V","Vorinostat","3.447"
"639V","VX702","143.024"
"639V#","ZD6474","4.16894769"
"639V","ZM447439","4.531"
"647V","17AAG","5.717"
"647V","681640","4.087"
"647V","A769662","91.924"
"647V","ABT263","71.041"
"647V","ABT888","97.154"
"647V","AICAR","4996.702"
"647V","AKTinhibit","5.846"
"647V","AMG706","162.183"
"647V","AP24534","0.682"
"647V","AS601245","158.728"
"647V","ATRA","360.460"
"647V","AUY922","0.150"
"647V","Axitinib","146.429"
"647V","AZD2281","371.033"
"647V","AZD6244","26.612"
"647V","AZD6482","35.754"
"647V","AZD7762","0.619"
"647V","AZD8055","1.537"
"647V","BAY613606","7.253"
"647V","Bexarotene","137.077"
"647V","BIBW2992","3.968"
"647V","Bicalutami","72.392"
"647V","BID1870","11.511"
"647V","BIRB0796","689.795"
"647V","Bleomycin","1.731"
"647V","BMS754807","41.409"
"647V","Bosutinib","29.396"
"647V","Bryostatin","1.007"
"647V","BX795","69.306"
"647V","Camptothec","0.001"
"647V","CEP701","1.000"
"647V","CHIR99021","309.188"
"647V","CI1040","48.760"
"647V","Cisplatin","112.152"
"647V","Cytarabine","1.232"
"647V","DMOG","92.209"
"647V","Docetaxel","0.002"
"647V","Doxorubici","0.019"
"647V","Elesclomol","0.007"
"647V","Embelin","24.304"
"647V","Epothilone","0.002"
"647V","Etoposide","0.488"
"647V","FH535","3.076"
"647V","FTI277","4.688"
"647V","GDC0449","616.242"
"647V","GDC0941","4.420"
"647V","Gefitinib","3.151"
"647V","Gemcitabin","0.000"
"647V","GSK650394","59.828"
"647V","GW441756","92.984"
"647V","IPA3","2567.202"
"647V","JNK9L","0.403"
"647V","JNKInhibit","857.848"
"647V","KU55933","58.036"
"647V","Lenalidomi","224.512"
"647V","LFMA13","897.478"
"647V","Metformin","25871.584"
"647V","Methotrexa","9.244"
"647V","Midostauri","12.006"
"647V","MitomycinC","0.088"
"647V","MK2206","59.388"
"647V","Nilotinib","100.885"
"647V","NSC87877","1543.686"
"647V","NU7441","15.144"
"647V","Nutlin3a","78.825"
"647V","NVPBEZ235","0.079"
"647V","ObatoclaxM","0.105"
"647V","OSI906","54.178"
"647V","PAC1","17.145"
"647V","Pazopanib","33.570"
"647V","PD0325901","0.457"
"647V","PD0332991","72.262"
"647V","PD173074","181.649"
"647V","PF562271","5.591"
"647V","PLX4720","208.088"
"647V","QS11","19.178"
"647V","RDEA119","46.952"
"647V","RO3306","176.438"
"647V","SB216763","242.788"
"647V","SB590885","339.530"
"647V","Shikonin","0.360"
"647V","SL01011","992.454"
"647V","Temsirolim","0.333"
"647V","Thapsigarg","0.014"
"647V","Tipifarnib","2.299"
"647V","Vinblastin","0.023"
"647V","Vinorelbin","0.021"
"647V","Vorinostat","5.959"
"647V","VX702","88.471"
"647V","ZM447439","27.554"
"697#","17AAG","0.42257124"
"697","17AAG","11.066"
"697","681640","0.432"
"697","ABT263","0.109"
"697","ABT888","28.727"
"697#","AEW541","4.26082181"
"697","AICAR","473.828"
"697","AMG706","101.946"
"697","ATRA","17.741"
"697","Axitinib","14.508"
"697#","AZD0530","7.26188325"
"697","AZD2281","2.833"
"697","AZD6244","6.635"
"697#","AZD6244","8"
"697","AZD7762","0.111"
"697","AZD8055","0.275"
"697","BIBW2992","28.343"
"697","BID1870","2.018"
"697","BIRB0796","109.152"
"697","Bosutinib","0.457"
"697","BX795","1.016"
"697","Camptothec","0.002"
"697","CEP701","0.027"
"697","CI1040","3.681"
"697","Cisplatin","1.884"
"697","Cytarabine","0.011"
"697","Docetaxel","0.002"
"697","Elesclomol","0.006"
"697#","Erlotinib","4.23296451"
"697","GDC0449","300.018"
"697","GDC0941","0.832"
"697","Gefitinib","1.439"
"697","GW441756","126.960"
"697#","Irinotecan","0.03499203"
"697","JNKInhibit","512.757"
"697","KU55933","18.850"
"697#","L685458","0.33289268"
"697#","Lapatinib","0.84947622"
"697#","LBW242","8"
"697","Lenalidomi","49.757"
"697","Metformin","6331.603"
"697","Methotrexa","0.013"
"697","MK2206","1.375"
"697","Nilotinib","11.128"
"697#","Nilotinib","1.91043436"
"697","NU7441","3.437"
"697#","Nutlin3","1.89052367"
"697","Nutlin3a","5.417"
"697","NVPBEZ235","0.018"
"697#","Paclitaxel","0.00254261"
"697#","Panobinost","0.01150313"
"697","PD0325901","12.906"
"697#","PD0325901","8"
"697","PD0332991","0.149"
"697#","PD0332991","0.84758031"
"697","PD173074","2.645"
"697#","PF2341066","2.38977217"
"697#","PHA665752","3.27544188"
"697#","PLX4720","1.69956857"
"697","PLX4720","3.539"
"697#","RAF265","0.18305760"
"697","RDEA119","19.800"
"697","RO3306","168.160"
"697","SB216763","640.482"
"697","SB590885","5.554"
"697","SL01011","51.869"
"697#","Sorafenib","6.38256073"
"697#","TAE684","0.84044927"
"697","Temsirolim","0.002"
"697#","TKI258","0.79090726"
"697#","Topotecan","0.03380842"
"697","Vinblastin","0.006"
"697","Vorinostat","0.474"
"697","VX702","45.682"
"697#","ZD6474","5.61264419"
"697","ZM447439","0.740"
