"cell_line","drug","ref"
"LOXIMVI","AZD8055","0.552"
"LOXIMVI","BI2536","0.117"
"LOXIMVI","BIBW2992","5.609"
"LOXIMVI","BMS509744","113.490"
"LOXIMVI","BMS536924","8.228"
"LOXIMVI","Bortezomib","3.159"
"LOXIMVI","Bosutinib","1.743"
"LOXIMVI","BX795","1.504"
"LOXIMVI","CEP701","0.299"
"LOXIMVI","CGP082996","75.412"
"LOXIMVI","CGP60474","0.228"
"LOXIMVI","CMK","12.074"
"LOXIMVI","Cyclopamin","602.152"
"LOXIMVI","Dasatinib","1.145"
"LOXIMVI","Docetaxel","0.001"
"LOXIMVI","Erlotinib","233.576"
"LOXIMVI#","Erlotinib","8"
"LOXIMVI","GDC0449","150.934"
"LOXIMVI","GDC0941","2.036"
"LOXIMVI","GNF2","113.592"
"LOXIMVI","GSK269962A","85.642"
"LOXIMVI","GW441756","16.365"
"LOXIMVI","GW843682X","0.183"
"LOXIMVI","Imatinib","134.009"
"LOXIMVI","JW7521","0.052"
"LOXIMVI","KIN001135","509.851"
"LOXIMVI#","L685458","8"
"LOXIMVI","Lapatinib","304.690"
"LOXIMVI#","Lapatinib","8"
"LOXIMVI#","LBW242","8"
"LOXIMVI","Lenalidomi","114.662"
"LOXIMVI","Metformin","10415.862"
"LOXIMVI","MG132","52.661"
"LOXIMVI","MK2206","16.924"
"LOXIMVI","MS275","0.908"
"LOXIMVI","Nilotinib","20.568"
"LOXIMVI#","Nutlin3","8"
"LOXIMVI","Nutlin3a","3.841"
"LOXIMVI","NVPBEZ235","0.015"
"LOXIMVI","NVPTAE684","112.937"
"LOXIMVI#","Paclitaxel","0.00456838"
"LOXIMVI","Paclitaxel","0.115"
"LOXIMVI#","Panobinost","0.06942246"
"LOXIMVI","Parthenoli","578.381"
"LOXIMVI","PD0325901","0.014"
"LOXIMVI#","PD0325901","1.00267648"
"LOXIMVI","PD0332991","1.909"
"LOXIMVI#","PD0332991","8"
"LOXIMVI","PD173074","128.386"
"LOXIMVI","PF02341066","168.832"
"LOXIMVI#","PF2341066","5.29121542"
"LOXIMVI","PHA665752","125.989"
"LOXIMVI#","PHA665752","8"
"LOXIMVI#","PLX4720","8"
"LOXIMVI","Pyrimetham","3.900"
"LOXIMVI#","RAF265","2.70892071"
"LOXIMVI","Rapamycin","10.329"
"LOXIMVI","RDEA119","0.478"
"LOXIMVI","RO3306","8.581"
"LOXIMVI","Roscovitin","211.919"
"LOXIMVI","Salubrinal","241.220"
"LOXIMVI","SB216763","613.239"
"LOXIMVI","SB590885","3.177"
"LOXIMVI","Sorafenib","384.055"
"LOXIMVI#","Sorafenib","8"
"LOXIMVI","STritylLcy","13.850"
"LOXIMVI","Sunitinib","6.722"
"LOXIMVI#","TAE684","4.30087041"
"LOXIMVI#","TKI258","8"
"LOXIMVI#","Topotecan","0.11007609"
"LOXIMVI","Vorinostat","1.718"
"LOXIMVI","VX680","61.885"
"LOXIMVI","VX702","123.712"
"LOXIMVI","WH4023","172.386"
"LOXIMVI","WZ184","2154.702"
"LOXIMVI","XMD885","930.273"
"LOXIMVI#","ZD6474","8"
"LOXIMVI","ZLLNleCHO","4.439"
"LOXIMVI","ZM447439","5.960"
"LP1#","17AAG","0.61079698"
"LP1","A443654","34.431"
"LP1","A770041","48.334"
"LP1#","AEW541","0.24403888"
"LP1","AZ628","14.349"
"LP1","AZD0530","587.213"
"LP1#","AZD0530","8"
"LP1#","AZD6244","8"
"LP1","BI2536","0.143"
"LP1","BMS509744","226.332"
"LP1","BMS536924","8.092"
"LP1","Bortezomib","0.062"
"LP1","CGP082996","12.338"
"LP1","CGP60474","0.053"
"LP1","CMK","185.881"
"LP1","Cyclopamin","81.763"
"LP1","Dasatinib","7.502"
"LP1","Erlotinib","39.001"
"LP1#","Erlotinib","8"
"LP1","GNF2","169.625"
"LP1","GSK269962A","119.338"
"LP1","GW843682X","0.063"
"LP1","Imatinib","541.388"
"LP1#","Irinotecan","1.01014375"
"LP1","JW7521","0.090"
"LP1","KIN001135","1133.058"
"LP1#","L685458","1.49301431"
"LP1#","Lapatinib","1.77938511"
"LP1","Lapatinib","23.581"
"LP1#","LBW242","8"
"LP1","MG132","4.701"
"LP1","MS275","1.298"
"LP1#","Nilotinib","4.03047037"
"LP1#","Nutlin3","8"
"LP1","NVPTAE684","1.868"
"LP1","Paclitaxel","0.282"
"LP1#","Paclitaxel","8"
"LP1#","Panobinost","0.01525946"
"LP1","Parthenoli","81.275"
"LP1#","PD0325901","8"
"LP1#","PD0332991","8"
"LP1","PF02341066","25.401"
"LP1#","PF2341066","0.41475598"
"LP1","PHA665752","115.499"
"LP1#","PHA665752","8"
"LP1#","PLX4720","8"
"LP1","Pyrimetham","115.453"
"LP1#","RAF265","8"
"LP1","Rapamycin","5.385"
"LP1","Roscovitin","33.527"
"LP1","Salubrinal","3.358"
"LP1#","Sorafenib","0.77489077"
"LP1","Sorafenib","33.631"
"LP1","STritylLcy","3.101"
"LP1","Sunitinib","9.713"
"LP1#","TAE684","1.46875170"
"LP1#","TKI258","8"
"LP1#","Topotecan","0.94170367"
"LP1","VX680","21.144"
"LP1","WH4023","658.284"
"LP1","WZ184","1608.893"
"LP1","XMD885","10.782"
"LP1#","ZD6474","8"
"LP1","ZLLNleCHO","28.856"
"LS1034","17AAG","5.395"
"LS1034","681640","92.291"
"LS1034","A443654","0.631"
"LS1034","A770041","16.460"
"LS1034","ABT263","105.714"
"LS1034","ABT888","115.580"
"LS1034","AICAR","42420.500"
"LS1034","AMG706","114.262"
"LS1034","AS601245","86.759"
"LS1034","ATRA","1230.803"
"LS1034","AUY922","0.042"
"LS1034","Axitinib","71.659"
"LS1034","AZ628","24.029"
"LS1034","AZD0530","159.967"
"LS1034","AZD2281","166.309"
"LS1034","AZD6244","8.905"
"LS1034","AZD7762","5.639"
"LS1034","AZD8055","7.002"
"LS1034","BAY613606","8.164"
"LS1034","Bexarotene","131.915"
"LS1034","BI2536","0.391"
"LS1034","BIBW2992","6.173"
"LS1034","Bicalutami","80.557"
"LS1034","BID1870","116.889"
"LS1034","BIRB0796","1068.759"
"LS1034","Bleomycin","34.992"
"LS1034","BMS509744","7.377"
"LS1034","BMS536924","0.758"
"LS1034","BMS754807","0.046"
"LS1034","Bortezomib","0.026"
"LS1034","Bosutinib","191.124"
"LS1034","Bryostatin","0.816"
"LS1034","BX795","175.053"
"LS1034","Camptothec","9.428"
"LS1034","CEP701","127.531"
"LS1034","CGP082996","96.440"
"LS1034","CGP60474","0.256"
"LS1034","CI1040","14.497"
"LS1034","Cisplatin","22.517"
"LS1034","CMK","122.411"
"LS1034","Cyclopamin","492.024"
"LS1034","Cytarabine","176.931"
"LS1034","Dasatinib","80.815"
"LS1034","Docetaxel","0.074"
"LS1034","Doxorubici","0.386"
"LS1034","Elesclomol","23.071"
"LS1034","Embelin","56.580"
"LS1034","Epothilone","0.001"
"LS1034","Erlotinib","180.908"
"LS1034","FH535","5.520"
"LS1034","GDC0449","123.207"
"LS1034","GDC0941","61.657"
"LS1034","Gefitinib","8.887"
"LS1034","Gemcitabin","1.383"
"LS1034","GNF2","75.262"
"LS1034","GSK269962A","349.560"
"LS1034","GSK650394","25.915"
"LS1034","GW441756","264.892"
"LS1034","GW843682X","0.060"
"LS1034","Imatinib","211.202"
"LS1034","IPA3","744.610"
"LS1034","JNKInhibit","814.184"
"LS1034","JW7521","0.365"
"LS1034","KIN001135","563.413"
"LS1034","KU55933","555.217"
"LS1034","Lapatinib","137.748"
"LS1034","Lenalidomi","570.251"
"LS1034","LFMA13","834.565"
"LS1034","Metformin","50305.275"
"LS1034","Methotrexa","6.827"
"LS1034","MG132","17.527"
"LS1034","MitomycinC","0.030"
"LS1034","MK2206","242.160"
"LS1034","MS275","14.281"
"LS1034","Nilotinib","183.195"
"LS1034","NU7441","116.715"
"LS1034","Nutlin3a","268.562"
"LS1034","NVPBEZ235","0.492"
"LS1034","NVPTAE684","0.637"
"LS1034","ObatoclaxM","0.659"
"LS1034","OSI906","0.272"
"LS1034","PAC1","13.290"
"LS1034","Paclitaxel","0.081"
"LS1034","Parthenoli","308.695"
"LS1034","Pazopanib","904.304"
"LS1034","PD0325901","0.194"
"LS1034","PD0332991","180.836"
"LS1034","PD173074","98.460"
"LS1034","PF02341066","178.383"
"LS1034","PHA665752","198.128"
"LS1034","PLX4720","774.285"
"LS1034","Pyrimetham","18.149"
"LS1034","QS11","63.295"
"LS1034","Rapamycin","0.829"
"LS1034","RDEA119","1.617"
"LS1034","RO3306","221.290"
"LS1034","Roscovitin","122.167"
"LS1034","Salubrinal","145.048"
"LS1034","SB216763","121.608"
"LS1034","SB590885","403.081"
"LS1034","SL01011","466.004"
"LS1034","Sorafenib","185.900"
"LS1034","STritylLcy","2.769"
"LS1034","Sunitinib","151.961"
"LS1034","Temsirolim","1.640"
"LS1034","Thapsigarg","0.029"
"LS1034","Tipifarnib","2.452"
"LS1034","Vinblastin","2.835"
"LS1034","Vorinostat","8.519"
"LS1034","VX680","6.717"
"LS1034","VX702","70.998"
"LS1034","WH4023","76.854"
"LS1034","WZ184","16.786"
"LS1034","XMD885","25.975"
"LS1034","ZLLNleCHO","6.519"
"LS1034","ZM447439","66.173"
"LS123#","17AAG","0.34925782"
"LS123","17AAG","1.390"
"LS123","681640","171.495"
"LS123","A443654","0.338"
"LS123","A769662","59.058"
"LS123","A770041","8.866"
"LS123","ABT263","98.225"
"LS123","ABT888","286.970"
"LS123#","AEW541","7.63845109"
"LS123","AICAR","676.784"
"LS123","AKTinhibit","55.225"
"LS123","AMG706","162.183"
"LS123","AP24534","56.209"
"LS123","AS601245","13.801"
"LS123","ATRA","956.226"
"LS123","AUY922","0.025"
"LS123","Axitinib","147.925"
"LS123","AZ628","10.509"
"LS123","AZD0530","5.468"
"LS123#","AZD0530","8"
"LS123","AZD2281","109.217"
"LS123","AZD6244","3.604"
"LS123#","AZD6244","8"
"LS123","AZD6482","611.163"
"LS123","AZD7762","1.809"
"LS123","AZD8055","1.247"
"LS123","BAY613606","11.171"
"LS123","Bexarotene","84.877"
"LS123","BI2536","0.160"
"LS123","BIBW2992","3.728"
"LS123","Bicalutami","91.458"
"LS123","BID1870","19.837"
"LS123","BIRB0796","944.760"
"LS123","Bleomycin","23.203"
"LS123","BMS509744","48.503"
"LS123","BMS536924","6.072"
"LS123","BMS754807","1.695"
"LS123","Bortezomib","0.002"
"LS123","Bosutinib","204.245"
"LS123","Bryostatin","0.384"
"LS123","BX795","8.598"
"LS123","Camptothec","7.281"
"LS123","CEP701","2.585"
"LS123","CGP082996","6.546"
"LS123","CGP60474","0.094"
"LS123","CHIR99021","322.409"
"LS123","CI1040","18.622"
"LS123","Cisplatin","481.734"
"LS123","CMK","5.999"
"LS123","Cyclopamin","1105.387"
"LS123","Cytarabine","85.993"
"LS123","Dasatinib","0.141"
"LS123","DMOG","5236.925"
"LS123","Docetaxel","0.004"
"LS123","Doxorubici","0.019"
"LS123","Elesclomol","0.049"
"LS123","Embelin","9.354"
"LS123","Epothilone","0.001"
"LS123","Erlotinib","79.085"
"LS123#","Erlotinib","8"
"LS123","Etoposide","4.003"
"LS123","FH535","9.157"
"LS123","FTI277","51.109"
"LS123","GDC0449","218.637"
"LS123","GDC0941","6.369"
"LS123","Gefitinib","24.717"
"LS123","Gemcitabin","0.041"
"LS123","GNF2","29.982"
"LS123","GSK269962A","38.788"
"LS123","GSK650394","20.791"
"LS123","GW441756","174.757"
"LS123","GW843682X","0.194"
"LS123","Imatinib","255.477"
"LS123","IPA3","8.744"
"LS123","JNK9L","1.251"
"LS123","JNKInhibit","1077.210"
"LS123","JW7521","0.060"
"LS123","KIN001135","570.990"
"LS123","KU55933","863.855"
"LS123#","L685458","8"
"LS123","Lapatinib","15.685"
"LS123#","Lapatinib","8"
"LS123#","LBW242","8"
"LS123","Lenalidomi","116.030"
"LS123","LFMA13","314.755"
"LS123","Metformin","16769.676"
"LS123","Methotrexa","10.216"
"LS123","MG132","24.658"
"LS123","Midostauri","5.608"
"LS123","MitomycinC","1.717"
"LS123","MK2206","9.254"
"LS123","MS275","2.343"
"LS123#","Nilotinib","8"
"LS123","Nilotinib","95.654"
"LS123","NSC87877","1798.774"
"LS123","NU7441","59.507"
"LS123#","Nutlin3","8"
"LS123","Nutlin3a","288.289"
"LS123","NVPBEZ235","0.093"
"LS123","NVPTAE684","1.514"
"LS123","ObatoclaxM","0.088"
"LS123","OSI906","27.841"
"LS123","PAC1","14.244"
"LS123","Paclitaxel","0.017"
"LS123#","Paclitaxel","0.34896284"
"LS123#","Panobinost","0.04720604"
"LS123","Parthenoli","274.080"
"LS123","Pazopanib","409.114"
"LS123","PD0325901","0.557"
"LS123#","PD0325901","8"
"LS123","PD0332991","62.467"
"LS123#","PD0332991","8"
"LS123","PD173074","82.270"
"LS123","PF02341066","186.717"
"LS123#","PF2341066","8"
"LS123","PF562271","14.894"
"LS123#","PHA665752","8"
"LS123","PHA665752","80.029"
"LS123","PLX4720","350.397"
"LS123#","PLX4720","8"
"LS123","Pyrimetham","1463.946"
"LS123","QS11","9.426"
"LS123#","RAF265","8"
"LS123","Rapamycin","0.796"
"LS123","RDEA119","2.499"
"LS123","RO3306","312.379"
"LS123","Roscovitin","194.100"
"LS123","Salubrinal","163.058"
"LS123","SB216763","112.769"
"LS123","SB590885","163.140"
"LS123","Shikonin","0.539"
"LS123","SL01011","194.100"
"LS123","Sorafenib","105.978"
"LS123#","Sorafenib","8"
"LS123","STritylLcy","94.141"
"LS123","Sunitinib","9.615"
"LS123#","TAE684","5.00569629"
"LS123","Temsirolim","2.171"
"LS123","Thapsigarg","0.006"
"LS123","Tipifarnib","2.104"
"LS123#","TKI258","8"
"LS123#","Topotecan","4.64430475"
"LS123","Vinblastin","0.054"
"LS123","Vinorelbin","2.331"
"LS123","Vorinostat","3.863"
"LS123","VX680","14.044"
"LS123","VX702","27.180"
"LS123","WH4023","4.336"
"LS123","WZ184","80.581"
"LS123","XMD885","28.732"
"LS123#","ZD6474","8"
"LS123","ZLLNleCHO","10.030"
"LS123","ZM447439","61.405"
"LS411N#","17AAG","0.08179349"
"LS411N","17AAG","0.466"
"LS411N","681640","55.137"
"LS411N","A443654","0.088"
"LS411N","A769662","30.036"
"LS411N","A770041","102.129"
"LS411N","ABT263","181.649"
"LS411N","ABT888","66.942"
"LS411N#","AEW541","2.99613666"
"LS411N","AICAR","3669.382"
"LS411N","AKTinhibit","1.246"
"LS411N","AMG706","108.891"
"LS411N","AP24534","3.484"
"LS411N","AS601245","20.484"
"LS411N","ATRA","445.693"
"LS411N","AUY922","0.038"
"LS411N","Axitinib","25.944"
"LS411N","AZ628","0.092"
"LS411N","AZD0530","218.353"
"LS411N#","AZD0530","8"
"LS411N","AZD2281","89.340"
"LS411N#","AZD6244","0.13958810"
"LS411N","AZD6244","10.746"
"LS411N","AZD6482","38.834"
"LS411N","AZD7762","0.377"
"LS411N","AZD8055","1.150"
"LS411N","BAY613606","3.763"
"LS411N","Bexarotene","97.522"
"LS411N","BI2536","0.014"
"LS411N","BIBW2992","5.763"
"LS411N","Bicalutami","68.666"
"LS411N","BID1870","22.077"
"LS411N","BIRB0796","431.914"
"LS411N","Bleomycin","0.053"
"LS411N","BMS509744","4.321"
"LS411N","BMS536924","0.499"
"LS411N","BMS754807","0.184"
"LS411N","Bortezomib","0.002"
"LS411N","Bosutinib","68.543"
"LS411N","Bryostatin","0.436"
"LS411N","BX795","27.439"
"LS411N","Camptothec","0.059"
"LS411N","CEP701","0.323"
"LS411N","CGP082996","11.179"
"LS411N","CGP60474","0.038"
"LS411N","CHIR99021","73.285"
"LS411N","CI1040","1.404"
"LS411N","Cisplatin","65.601"
"LS411N","CMK","14.181"
"LS411N","Cyclopamin","348.377"
"LS411N","Cytarabine","0.696"
"LS411N","Dasatinib","47.902"
"LS411N","DMOG","41583.055"
"LS411N","Docetaxel","0.003"
"LS411N","Doxorubici","0.100"
"LS411N","Elesclomol","0.102"
"LS411N","Embelin","7.444"
"LS411N","Epothilone","0.024"
"LS411N","Erlotinib","65.288"
"LS411N#","Erlotinib","8"
"LS411N","Etoposide","0.926"
"LS411N","FH535","4.504"
"LS411N","FTI277","11.538"
"LS411N","GDC0449","523.814"
"LS411N","GDC0941","48.731"
"LS411N","Gefitinib","11.524"
"LS411N","Gemcitabin","0.030"
"LS411N","GNF2","5.955"
"LS411N","GSK269962A","86.105"
"LS411N","GSK650394","10.345"
"LS411N","GW441756","124.441"
"LS411N","GW843682X","0.008"
"LS411N","Imatinib","172.817"
"LS411N","IPA3","1643.915"
"LS411N","JNK9L","0.199"
"LS411N","JNKInhibit","806.590"
"LS411N","JW7521","0.015"
"LS411N","KIN001135","136.015"
"LS411N","KU55933","440.700"
"LS411N#","L685458","8"
"LS411N","Lapatinib","26.076"
"LS411N#","Lapatinib","8"
"LS411N#","LBW242","8"
"LS411N","Lenalidomi","298.943"
"LS411N","LFMA13","408.502"
"LS411N","Metformin","10094.853"
"LS411N","Methotrexa","0.118"
"LS411N","MG132","1.695"
"LS411N","Midostauri","2.742"
"LS411N","MitomycinC","0.323"
"LS411N","MK2206","60.627"
"LS411N","MS275","1.309"
"LS411N","Nilotinib","184.570"
"LS411N","NSC87877","1290.232"
"LS411N","NU7441","63.200"
"LS411N#","Nutlin3","8"
"LS411N","Nutlin3a","754.548"
"LS411N","NVPBEZ235","0.188"
"LS411N","NVPTAE684","0.675"
"LS411N","ObatoclaxM","0.144"
"LS411N","OSI906","4.428"
"LS411N","PAC1","2.078"
"LS411N#","Paclitaxel","0.00259077"
"LS411N","Paclitaxel","0.007"
"LS411N#","Panobinost","0.03591568"
"LS411N","Parthenoli","71.982"
"LS411N","Pazopanib","309.003"
"LS411N#","PD0325901","0.01303634"
"LS411N","PD0325901","0.340"
"LS411N","PD0332991","150.004"
"LS411N","PD173074","225.432"
"LS411N","PF02341066","9.986"
"LS411N#","PF2341066","8"
"LS411N","PF562271","29.836"
"LS411N","PHA665752","126.002"
"LS411N#","PHA665752","8"
"LS411N#","PLX4720","0.92528462"
"LS411N","PLX4720","16.970"
"LS411N","Pyrimetham","0.837"
"LS411N","QS11","8.457"
"LS411N#","RAF265","1.90278995"
"LS411N","Rapamycin","0.078"
"LS411N","RDEA119","0.404"
"LS411N","RO3306","533.565"
"LS411N","Roscovitin","225.072"
"LS411N","Salubrinal","34.253"
"LS411N","SB216763","512.450"
"LS411N","SB590885","29.922"
"LS411N","Shikonin","3.178"
"LS411N","SL01011","584.759"
"LS411N#","Sorafenib","8"
"LS411N","Sorafenib","85.531"
"LS411N","STritylLcy","1.520"
"LS411N","Sunitinib","370.701"
"LS411N#","TAE684","2.61978507"
"LS411N","Temsirolim","5.391"
"LS411N","Thapsigarg","0.014"
"LS411N","Tipifarnib","1.104"
"LS411N#","TKI258","7.33295488"
"LS411N#","Topotecan","0.46733886"
"LS411N","Vinblastin","0.067"
"LS411N","Vinorelbin","0.003"
"LS411N","Vorinostat","2.814"
"LS411N","VX680","0.578"
"LS411N","VX702","113.230"
"LS411N","WH4023","38.449"
"LS411N","WZ184","678.676"
"LS411N","XMD885","7.013"
"LS411N#","ZD6474","8"
"LS411N","ZLLNleCHO","36.587"
"LS411N","ZM447439","339.700"
"LS513#","17AAG","0.02909001"
"LS513","17AAG","0.241"
"LS513","681640","5.306"
"LS513","A443654","35.487"
"LS513","A770041","283.303"
"LS513","ABT263","141.365"
"LS513","ABT888","534.523"
"LS513#","AEW541","0.53935831"
"LS513","AICAR","10645.775"
"LS513","AMG706","167.591"
"LS513","ATRA","918.844"
"LS513","Axitinib","177.319"
"LS513","AZ628","0.075"
"LS513","AZD0530","285.373"
"LS513#","AZD0530","8"
"LS513","AZD2281","385.513"
"LS513#","AZD6244","0.43645909"
"LS513","AZD6244","1.420"
"LS513","AZD7762","0.750"
"LS513","AZD8055","2.382"
"LS513","BI2536","0.673"
"LS513","BIBW2992","4.293"
"LS513","BID1870","87.594"
"LS513","BIRB0796","232.832"
"LS513","BMS509744","94.621"
"LS513","BMS536924","4.153"
"LS513","Bortezomib","0.001"
"LS513","Bosutinib","163.058"
"LS513","BX795","13.153"
"LS513","Camptothec","0.020"
"LS513","CEP701","1.248"
"LS513","CGP082996","979.772"
"LS513","CGP60474","0.535"
"LS513","CI1040","1.450"
"LS513","Cisplatin","60.802"
"LS513","CMK","5868.423"
"LS513","Cyclopamin","11.270"
"LS513","Cytarabine","0.381"
"LS513","Dasatinib","127.480"
"LS513","Docetaxel","0.289"
"LS513","Elesclomol","0.083"
"LS513","Erlotinib","33.128"
"LS513#","Erlotinib","8"
"LS513","GDC0449","410.994"
"LS513","GDC0941","18.754"
"LS513","Gefitinib","31.779"
"LS513","GNF2","178.810"
"LS513","GSK269962A","73.688"
"LS513","GW441756","35.459"
"LS513","GW843682X","0.213"
"LS513","Imatinib","26.617"
"LS513#","Irinotecan","0.21893300"
"LS513","JNKInhibit","1173.642"
"LS513","JW7521","0.392"
"LS513","KIN001135","291.352"
"LS513","KU55933","1109.583"
"LS513#","L685458","2.14979198"
"LS513#","Lapatinib","2.88055253"
"LS513","Lapatinib","3.388"
"LS513#","LBW242","8"
"LS513","Lenalidomi","626.900"
"LS513","Metformin","30772.280"
"LS513","Methotrexa","4.334"
"LS513","MG132","0.668"
"LS513","MK2206","2.329"
"LS513","MS275","0.446"
"LS513","Nilotinib","160.174"
"LS513#","Nilotinib","8"
"LS513","NU7441","152.006"
"LS513#","Nutlin3","8"
"LS513","Nutlin3a","6.751"
"LS513","NVPBEZ235","0.142"
"LS513","NVPTAE684","2.217"
"LS513#","Paclitaxel","0.01882460"
"LS513","Paclitaxel","0.494"
"LS513#","Panobinost","0.05382192"
"LS513","Parthenoli","30.705"
"LS513#","PD0325901","0.03187422"
"LS513","PD0325901","0.116"
"LS513","PD0332991","14.072"
"LS513#","PD0332991","4.52806520"
"LS513","PD173074","222.529"
"LS513","PF02341066","27.894"
"LS513#","PF2341066","7.25318718"
"LS513","PHA665752","147.204"
"LS513#","PHA665752","8"
"LS513","PLX4720","1055.103"
"LS513#","PLX4720","8"
"LS513","Pyrimetham","71.048"
"LS513#","RAF265","1.08331984"
"LS513","Rapamycin","8.540"
"LS513","RDEA119","0.415"
"LS513","RO3306","177.461"
"LS513","Roscovitin","23.293"
"LS513","Salubrinal","116.076"
"LS513","SB216763","29.821"
"LS513","SB590885","120.342"
"LS513","SL01011","921.229"
"LS513","Sorafenib","33.500"
"LS513#","Sorafenib","8"
"LS513","STritylLcy","5.173"
"LS513","Sunitinib","55.198"
"LS513#","TAE684","0.15641960"
"LS513","Temsirolim","8.534"
"LS513#","TKI258","0.95084783"
"LS513#","Topotecan","0.71725044"
"LS513","Vinblastin","0.057"
"LS513","Vorinostat","4.402"
"LS513","VX680","45.382"
"LS513","VX702","138.657"
"LS513","WH4023","935.295"
"LS513","WZ184","858.276"
"LS513","XMD885","5.826"
"LS513#","ZD6474","8"
"LS513","ZLLNleCHO","25.262"
"LS513","ZM447439","6.208"
"LU134A","17AAG","0.262"
"LU134A","681640","0.917"
"LU134A","A443654","1.444"
"LU134A","A770041","171.957"
"LU134A","ABT263","0.188"
"LU134A","ABT888","261.455"
"LU134A","AICAR","938.939"
"LU134A","AMG706","12.321"
"LU134A","ATRA","36.238"
"LU134A","Axitinib","58.536"
"LU134A","AZ628","8.624"
"LU134A","AZD0530","311.788"
"LU134A","AZD2281","19.395"
"LU134A","AZD6244","63.326"
"LU134A","AZD7762","0.657"
"LU134A","AZD8055","1.027"
"LU134A","BI2536","0.704"
"LU134A","BIBW2992","20.907"
"LU134A","BID1870","3.938"
"LU134A","BIRB0796","81.771"
"LU134A","BMS509744","15.127"
"LU134A","BMS536924","4.063"
"LU134A","Bortezomib","0.444"
"LU134A","Bosutinib","16.843"
"LU134A","BX795","3.418"
"LU134A","Camptothec","0.001"
"LU134A","CEP701","0.601"
"LU134A","CGP082996","887.690"
"LU134A","CGP60474","0.198"
"LU134A","CI1040","15.768"
"LU134A","Cisplatin","3.928"
"LU134A","CMK","33.380"
"LU134A","Cyclopamin","1261.990"
"LU134A","Cytarabine","2.716"
"LU134A","Dasatinib","240.021"
"LU134A","Docetaxel","0.011"
"LU134A","Elesclomol","0.402"
"LU134A","Erlotinib","460.462"
"LU134A","GDC0449","51.827"
"LU134A","GDC0941","4.507"
"LU134A","Gefitinib","0.720"
"LU134A","GNF2","197.536"
"LU134A","GSK269962A","7.287"
"LU134A","GW441756","39.231"
"LU134A","GW843682X","0.565"
"LU134A","Imatinib","105.904"
"LU134A","JNKInhibit","121.633"
"LU134A","JW7521","11.407"
"LU134A","KIN001135","63.181"
"LU134A","KU55933","175.385"
"LU134A","Lapatinib","230.752"
"LU134A","Lenalidomi","193.559"
"LU134A","Metformin","12623.266"
"LU134A","Methotrexa","0.089"
"LU134A","MG132","51.590"
"LU134A","MK2206","3.868"
"LU134A","MS275","0.369"
"LU134A","Nilotinib","70.091"
"LU134A","NU7441","4.576"
"LU134A","Nutlin3a","65.061"
"LU134A","NVPBEZ235","0.080"
"LU134A","NVPTAE684","0.481"
"LU134A","Paclitaxel","0.152"
"LU134A","Parthenoli","137.803"
"LU134A","PD0325901","7.318"
"LU134A","PD0332991","28.629"
"LU134A","PD173074","17.189"
"LU134A","PF02341066","90.740"
"LU134A","PHA665752","108.815"
"LU134A","PLX4720","20.515"
"LU134A","Pyrimetham","17.114"
"LU134A","Rapamycin","0.524"
"LU134A","RDEA119","283.982"
"LU134A","RO3306","239.304"
"LU134A","Roscovitin","1425.776"
"LU134A","Salubrinal","576.079"
"LU134A","SB216763","30.702"
"LU134A","SB590885","40.982"
"LU134A","SL01011","42.231"
"LU134A","Sorafenib","171.273"
"LU134A","STritylLcy","80.109"
"LU134A","Sunitinib","134.652"
"LU134A","Temsirolim","0.029"
"LU134A","Vinblastin","0.009"
"LU134A","Vorinostat","2.463"
"LU134A","VX680","4.290"
"LU134A","VX702","23.739"
"LU134A","WH4023","365.490"
"LU134A","WZ184","1219.201"
"LU134A","XMD885","1711.649"
"LU134A","ZLLNleCHO","581.619"
"LU134A","ZM447439","9.529"
"LU165","A443654","29.052"
"LU165","A770041","126.859"
"LU165","AZ628","210.131"
"LU165","AZD0530","53.963"
"LU165","BI2536","62.120"
"LU165","BMS509744","2131.839"
"LU165","BMS536924","252.112"
"LU165","Bortezomib","0.705"
"LU165","CGP082996","419.146"
"LU165","CGP60474","32.842"
"LU165","CMK","310.609"
"LU165","Cyclopamin","1765.022"
"LU165","Dasatinib","20.002"
"LU165","Erlotinib","194.798"
"LU165","GNF2","67.492"
"LU165","GSK269962A","202.865"
"LU165","GW843682X","22.722"
"LU165","Imatinib","198.563"
"LU165","JW7521","12.466"
"LU165","KIN001135","371.144"
"LU165","Lapatinib","408.706"
"LU165","MG132","74.970"
"LU165","MS275","0.680"
"LU165","NVPTAE684","125.138"
"LU165","Paclitaxel","8.693"
"LU165","Parthenoli","439.428"
"LU165","PF02341066","128.283"
"LU165","PHA665752","117.731"
"LU165","Pyrimetham","226.807"
"LU165","Rapamycin","9.937"
"LU165","Roscovitin","1680.034"
"LU165","Salubrinal","2337.084"
"LU165","Sorafenib","44.133"
"LU165","STritylLcy","52.514"
"LU165","Sunitinib","800.981"
"LU165","VX680","37.167"
"LU165","WH4023","298.288"
"LU165","WZ184","814.265"
"LU165","XMD885","1417.980"
"LU165","ZLLNleCHO","394.022"
"LU65","A443654","13.783"
"LU65","A770041","2302.165"
"LU65","AZ628","18.430"
"LU65","AZD0530","189.833"
"LU65","BI2536","4.906"
"LU65","BMS509744","204.754"
"LU65","BMS536924","4.478"
"LU65","Bortezomib","0.006"
"LU65","CGP082996","828.514"
"LU65","CGP60474","0.549"
"LU65","CMK","285.287"
