"cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"T47D","0","0","0","1","1","0","1","0"
"T84","0","0","0","0","0","3","5","2"
"T98G","0","0","0","2","2","0","1","0"
"TE1","0","0","0","1","0","1","1","0"
"TE10","0","0","0","0","0","0","1","0"
"TE11","0","0","0","1","2","1","1","0"
"TE441T","0","0","0","0","0","0","2","0"
"TE5","0","0","0","2","0","5","5","0"
"TE6","0","0","0","0","0","0","3","0"
"TE617T","0","0","0","1","0","0","0","0"
"TE8","0","0","0","0","0","1","2","0"
"TE9","0","0","0","0","0","0","1","0"
"TEN","0","0","0","0","0","10","0","0"
"TGBC11TKB","0","0","0","0","1","2","4","0"
"THP1","0","0","0","0","0","0","4","0"
"TOLEDO","0","0","0","0","0","4","0","0"
"TOV21G","0","0","1","0","0","0","0","0"
"TT","0","0","0","0","0","1","0","0"
"TT2609C02","0","0","0","2","0","0","0","0"
"TYKNU","0","0","0","1","0","2","0","0"
"U2OS","0","0","0","2","1","0","0","0"
"UACC257","0","0","0","0","1","2","5","0"
"UACC62","0","0","0","0","1","0","2","1"
"UACC812","0","0","0","0","3","0","0","0"
"UACC893","0","0","0","0","1","0","3","0"
"UMUC3","0","0","0","0","0","1","0","0"
"VMCUB1","0","0","0","2","1","1","2","2"
"VMRCRCZ","0","0","0","0","0","1","0","0"
"WM115","0","0","0","0","1","1","2","0"
"WM1799","0","0","0","0","0","1","0","0"
"WM2664","0","0","0","0","0","1","0","0"
"WM793","0","0","0","0","0","2","0","0"
"WM88","0","0","0","0","1","4","0","0"
"WM983B","0","0","0","1","0","2","0","0"
"YAPC","0","0","0","0","2","0","1","0"
"YH13","0","0","1","0","1","1","0","0"
"YKG1","0","0","0","1","0","2","2","0"
"ZR7530","0","0","0","0","0","0","1","0"
