"drug_name","Pubchem_id","drug_targets","number_of_drug_targets","Chemical_formula","molecular_weight","polarizability","pI","volume","h_bond_acceptor","h_bond_donor","drug_class"
"GDC0449","24776445","SMO","1","C19H14Cl2N2O3S","421.297","39.21","6.99","330.58","4","1","Angiogenesis"
"GDC0941","17755052","PIK3CA, PIK3CB, PIK3CG, PIK3CD","4","C23H27N7O3S2","513.636","54.38","9.72","432.56","8","1","Apoptosis"
"Gefitinib","123631","EGFR","1","C22H24ClFN4O3","446.902","46.13","11.48","383.17","7","1","Receptor Tyrosine kinase"
"Gemcitabine","60750","DNAreplication","1","C9H11F2N3O4","263.1981","21.45","5.54","202.88","6","3","Replication"
"GNF2","5311510","BCR-ABL","1","C18H13F3N4O2","374.3166","34.68","9.2","297.55","5","2","Tyrosine kinase"
"GSK269962A","16095342","ROCK1, ROCK2","2","C29H30N8O5","570.5991","58.86","9.03","494.13","9","2","Ser Thr Kinase"
"GSK650394","25022668","SGK3","1","C25H22N2O2","382.4544","42.81","3.82","346.82","3","2","Stress pathway"
"GW441756","16219400","NTRK1, , ","1","C17H13N3O","275.3046","29.91","6.41","237.49","2","1","Tyrosine kinase"
"GW843682X","15983966","PLK1","1","C27H28F3N5O2S","543.604","54.8","11.08","461.86","5","1","Ser Thr Kinase"
"Imatinib","5291","KIT, RET, NTRK1, ABL1, PDGFRA, PDGFRB","6","C29H31N7O","493.6027","55.54","10.23","458","7","2","Receptor Tyrosine kinase"
"IPA3","521106","PAK1","1","C20H14O2S2","350.454","36.04","","293.88","2","2","Ser Thr Kinase"
"Irinotecan","60838","TOP1","1","C33H38N4O6","586.678","65.96","10.58","528.99","6","1","DNA repair"
"JNJ26854165","11609586","MDM2","1","C21H20N4","328.4103","39.79","12.57","302.97","3","3","Apoptosis"
"JNK9L","NA","MAPK8","1","C26H27FN8O2","502.5434","53.01","8.4","434.15","9","1","Ser Thr Kinase"
"JNKInhibitorVIII","11624601","MAPK8","1","C18H20N4O4","356.3758","36.69","7.12","318.71","7","2","Ser Thr Kinase"
"JW7521","49836027","MTOR","1","C35H28F3N5O2","607.6243","60.79","","515.91","5","0","Ser Thr Kinase"
"KIN001135","11626927","IKBKE","1","C22H19N3O5S2","469.533","47.75","12.84","385.66","7","0","DNA repair"
"KU55933","5278396","ATM","1","C21H17NO3S2","395.495","41.5","","328.42","4","0","Cell cycle"
"L685458","5479543","PSENEN","1","C32H50N4O6","586.7626","65.12","6.2","582.02","5","5","Cell cycle, Apoptosis"
"Lapatinib","208908","EGFR, ERBB2","2","C29H26ClFN4O4S","581.058","61.19","11.58","482.69","7","2","Tyrosine kinase"
"LBW242","NA","SMAC","1","C27H42N4O2","454.648","52.79","10.92","459.52","4","2","Apoptosis"
"Lenalidomide","216326","TNF","1","C13H13N3O3","259.2606","25.55","6.97","218.8","4","2","Angiogenesis"
"LFMA13","9549280","BTK","1","C11H8Br2N2O2","360.001","26.88","","217.77","4","2","Transcription"
"Metformin","4091","PRKAA1, ","1","C4H11N5","129.1636","13.18","","123.07","5","3","Metabolism"
"Methotrexate","126941","DHFR","1","C20H22N8O5","454.4393","44.54","3.56","384.14","12","5","Metabolism"
"MG132","462382","Proteasome","1","C26H41N3O5","475.6208","53.56","4.62","476.01","4","3","Apoptosis"
"Midostaurin","24202429","KIT","1","C35H30N4O4","570.6371","60.72","7.08","493.37","4","1","Receptor Tyrosine kinase"
"MitomycinC","5746","DNAcrosslinker","1","C15H18N4O5","334.3272","32.77","3.72","276.14","7","3","Replication"
"MK2206","46930998","AKT1, AKT2","2","C25H21N5O","407.4671","44.91","9.86","356.76","4","2","Ser Thr Kinase"
"MS275","4261","HDAC1, HDAC2, HDAC3","3","C21H20N4O3","376.4085","39.61","8.4","334.71","4","3","Chromatin"
"Nilotinib","644241","ABL1, KIT","2","C28H22F3N7O","529.5158","52.35","9.07","440.66","6","2","Tyrosine kinase"
"NSC87877","5459322","PTPN6, PTPN11","2","C19H13N3O7S2","459.452","44.31","","348.18","10","3","Cell cycle"
"NU7441","11327430","PRKDC, ","1","C25H19NO3S","413.488","43.86","9.74","352.81","4","0","Ser Thr Kinase"
"Nutlin3","11433190","MDM2","1","C30H30Cl2N4O4","581.49","60.09","8.45","497.18","5","1","Apoptosis"
"NVPBEZ235","11977753","PIK3CA, PIK3CB, PIK3CG, PIK3C, , ","4","C30H23N5O","469.5365","51.35","","417.7","4","0","Apoptosis"
"NVPTAE684","16038120","ALK","1","C30H40ClN7O3S","614.202","68.01","10.25","552.91","10","2","Receptor Tyrosine kinase"
"ObatoclaxMesylate","16727411","BCL2, BCLXL, MCL1","3","C21H23N3O4S","413.49","37.51","8.74","","3","2","Apoptosis"
"OSI906","11640390","IGF1R","1","C26H23N5O","421.4937","48.01","10.62","374","5","2","Receptor Tyrosine kinase"
"PAC1","6851947","CASP3","1","C23H28N4O2","392.494","44.61","9.52","372.47","5","2","Apoptosis"
"Paclitaxel","36314","Microtubules, BCL2","2","C47H51NO14","853.9061","87.03","4.65","763.33","10","4","Mitosis"
"Panobinostat","6918837","HDAC1","1","C21H23N3O2","349.4262","40.26","9.85","325.22","3","4","Chromatin"
"Parthenolide","5420805","NFKB1","1","C15H20O3","248.3175","27.05","3.31","243.4","2","0","Apoptosis"
"Pazopanib","10113978","VEGFR, PDGFRA, PDGFRB, KIT","4","C21H23N7O2S","437.518","46.14","7.74","376.77","7","2","Receptor Tyrosine kinase, Angiogenesis"
"PD0325901","9826528","MAP2K1, MAP2K2, ","2","C16H14F3IN2O4","482.193","37.96","4.47","311.06","5","4","Ser Thr Kinase"
