"gene","cell_line"
"ABL1","NCIH810"
"ABL1","NCIH82"
"ABL1","NCIH838"
"ABL1","NCIH841"
"ABL1","NCIH854"
"ABL1","NCIH889"
"ABL1","NCIH929"
"ABL1","NCIN87"
"ABL1","NCO2"
"ABL1","NH6"
"ABL1","NIHOVCAR3"
"ABL1","NMCG1"
"ABL1","NUDHL1"
"ABL1","NUDUL1"
"ABL1","NUGC3"
"ABL1","NUGC4"
"ABL1","OAW28"
"ABL1","OAW42"
"ABL1","OCIAML2"
"ABL1","OCIAML3"
"ABL1","OCIAML5"
"ABL1","OCILY10"
"ABL1","OCILY19"
"ABL1","OCILY3"
"ABL1","OCIM1"
"ABL1","OCUM1"
"ABL1","OE19"
"ABL1","OE21"
"ABL1","OE33"
"ABL1","ONCODG1"
"ABL1","ONS76"
"ABL1","OPM2"
"ABL1","OSRC2"
"ABL1","OUMS23"
"ABL1","OUMS27"
"ABL1","OV56"
"ABL1","OV90"
"ABL1","OVCAR4"
"ABL1","OVCAR8"
"ABL1","OVISE"
"ABL1","OVK18"
"ABL1","OVKATE"
"ABL1","OVMANA"
"ABL1","OVSAHO"
"ABL1","OVTOKO"
"ABL1","P12ICHIKAWA"
"ABL1","P31FUJ"
"ABL1","P3HR1"
"ABL1","PANC0203"
"ABL1","PANC0213"
"ABL1","PANC0327"
"ABL1","PANC0403"
"ABL1","PANC0813"
"ABL1","PANC1005"
"ABL1","PATU8902"
"ABL1","PC14"
"ABL1","PC3"
"ABL1","PCM6"
"ABL1","PECAPJ15"
"ABL1","PECAPJ34CLONEC12"
"ABL1","PECAPJ41CLONED2"
"ABL1","PECAPJ49"
"ABL1","PEER"
"ABL1","PF382"
"ABL1","PFEIFFER"
"ABL1","PK1"
"ABL1","PK45H"
"ABL1","PK59"
"ABL1","PL21"
"ABL1","PSN1"
"ABL1","QGP1"
"ABL1","RAJI"
"ABL1","RCC10RGB"
"ABL1","RCHACV"
"ABL1","RCM1"
"ABL1","RD"
"ABL1","REC1"
"ABL1","REH"
"ABL1","RERFGC1B"
"ABL1","RERFLCAD1"
"ABL1","RERFLCAD2"
"ABL1","RERFLCAI"
"ABL1","RERFLCKJ"
"ABL1","RERFLCMS"
"ABL1","RERFLCSQ1"
"ABL1","RH41"
"ABL1","RI1"
"ABL1","RKN"
"ABL1","RKO"
"ABL1","RL"
"ABL1","RL952"
"ABL1","RMGI"
"ABL1","RMUGS"
"ABL1","RPMI7951"
"ABL1","RPMI8226"
"ABL1","RPMI8402"
"ABL1","RS411"
"ABL1","RS5"
"ABL1","RT112"
"ABL1","RT11284"
"ABL1","RT4"
"ABL1","S117"
"ABL1","SAOS2"
"ABL1","SBC5"
"ABL1","SCABER"
"ABL1","SCC15"
"ABL1","SCC25"
"ABL1","SCC4"
"ABL1","SCC9"
"ABL1","SCLC21H"
"ABL1","SEM"
"ABL1","SET2"
"ABL1","SF126"
"ABL1","SF295"
"ABL1","SH10TC"
"ABL1","SH4"
"ABL1","SHSY5Y"
"ABL1","SIGM5"
"ABL1","SIMA"
"ABL1","SJRH30"
"ABL1","SJSA1"
"ABL1","SKBR3"
"ABL1","SKCO1"
"ABL1","SKES1"
"ABL1","SKHEP1"
"ABL1","SKLMS1"
"ABL1","SKLU1"
"ABL1","SKM1"
"ABL1","SKMEL1"
"ABL1","SKMEL2"
"ABL1","SKMEL24"
"ABL1","SKMEL28"
"ABL1","SKMEL3"
"ABL1","SKMEL30"
"ABL1","SKMEL5"
"ABL1","SKMES1"
"ABL1","SKNAS"
"ABL1","SKNDZ"
"ABL1","SKNFI"
"ABL1","SKNMC"
"ABL1","SKNSH"
"ABL1","SKOV3"
"ABL1","SKUT1"
"ABL1","SNGM"
"ABL1","SNU1033"
"ABL1","SNU1041"
"ABL1","SNU1066"
"ABL1","SNU1076"
"ABL1","SNU1077"
"ABL1","SNU1079"
"ABL1","SNU1105"
"ABL1","SNU119"
"ABL1","SNU1196"
"ABL1","SNU1197"
"ABL1","SNU1214"
"ABL1","SNU1272"
"ABL1","SNU175"
"ABL1","SNU182"
"ABL1","SNU201"
"ABL1","SNU213"
"ABL1","SNU216"
"ABL1","SNU245"
"ABL1","SNU283"
"ABL1","SNU308"
"ABL1","SNU324"
"ABL1","SNU349"
"ABL1","SNU387"
"ABL1","SNU398"
"ABL1","SNU407"
"ABL1","SNU410"
"ABL1","SNU423"
"ABL1","SNU449"
"ABL1","SNU46"
"ABL1","SNU466"
"ABL1","SNU475"
"ABL1","SNU478"
"ABL1","SNU489"
"ABL1","SNU5"
"ABL1","SNU503"
"ABL1","SNU520"
"ABL1","SNU601"
"ABL1","SNU620"
"ABL1","SNU626"
