"cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"U2OSXXX","0.02638434","24","22","21","20","19","18","12"
"U698M","1.225","40","36","36","25","20","17","4"
"U87MG","0.004","92","90","89","88","87","85","84"
"U87MGXXX","0.00939157","24","23","23","21","21","20","20"
"U937XXX","0.00430702","24","23","22","21","20","20","19"
"UACC257","0.001","122","121","121","120","115","111","104"
"UACC257XXX","0.01995649","21","20","19","17","17","16","14"
"UACC62","0.003","91","89","89","85","83","80","75"
"UACC62XXX","0.01051366","20","18","16","13","13","13","12"
"UACC812","0.021","15","14","14","14","14","14","13"
"UACC812XXX","0.00254261","24","23","23","22","21","20","20"
"UACC893","0.046","86","80","80","70","70","66","62"
"UMC11","0.009","90","88","88","83","81","78","73"
"UMUC3XXX","0.00823879","24","23","23","22","21","19","19"
"VAESBJ","0.001","66","64","62","58","54","52","48"
"VMCUB1","0.001","76","74","72","69","66","64","63"
"VMRCLCDXXX","0.00254261","23","21","20","20","20","19","17"
"VMRCRCWXXX","0.00828804","24","23","23","23","22","21","18"
"VMRCRCZXXX","0.06557756","24","22","22","20","18","16","0"
"WM115","0.006","90","88","87","81","78","75","69"
"WM115XXX","0.04751817","21","19","18","17","17","16","0"
"WM1799XXX","0.02054945","24","22","21","18","18","15","15"
"WM2664XXX","0.01056482","21","18","17","15","15","15","13"
"WM793XXX","0.00988328","24","23","23","18","18","17","16"
"WM88XXX","0.00339465","24","22","22","20","19","16","15"
"WM983BXXX","0.00641442","24","22","22","18","18","13","12"
"WSUNHL","0.029","40","39","39","39","39","39","36"
"YAPC","0.013","90","88","87","84","80","78","75"
"YKG1XXX","0.01019102","23","22","22","20","20","20","19"
"YT","0.062","38","37","37","37","37","35","30"
"ZR751XXX","0.00597560","21","20","20","19","19","17","16"
"ZR7530","0.048","52","50","49","46","44","44","42"
"ZR7530XXX","0.02818343","24","22","21","19","18","17","16"
