"cell_line","tissue_type","No_of_drugs_tried","No_of_targets"
"EKVX","LUNG","137","219"
"EM2","BLOOD","153","245"
"EM2","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"EN","ENDOMETRIUM","24","38"
"EPLC272H","LUNG","61","98"
"ES1","BONE","138","221"
"ES2","OVARY","22","35"
"ES3","BONE","138","221"
"ES4","BONE","138","221"
"ES5","BONE","138","221"
"ES6","BONE","138","221"
"ES7","BONE","138","221"
"ES8","BONE","138","221"
"ESS1","ENDOMETRIUM","117","187"
"ESS1","UTERUS","19","30"
"ETK1","GI TRACT","138","221"
"EVSAT","BREAST","86","138"
"EW1","BONE","138","221"
"EW11","BONE","138","221"
"EW12","BONE","40","64"
"EW13","BONE","129","206"
"EW16","BONE","138","221"
"EW18","BONE","125","200"
"EW22","BONE","76","122"
"EW24","BONE","104","166"
"EW3","BONE","119","190"
"EW7","BONE","46","74"
"EoL1cell","BLOOD","119","190"
"F36P","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"FADU","UPPER AERODIGESTIVE TRACT","121","194"
"FADU","UPPER AERODIGESTIVE TRACT","23","37"
"FTC133","THYROID","98","157"
"FU97","STOMACH","21","34"
"FUOV1","OVARY","24","38"
"G361","SKIN","102","163"
"G361","SKIN","24","38"
"G401","KIDNEY","122","195"
"G401","SOFT TISSUE","24","38"
"G402","SOFT TISSUE","119","190"
"G402","SOFT TISSUE","21","34"
"GAK","SKIN","132","211"
"GAMG","CENTRAL NERVOUS SYSTEM","118","189"
"GAMG","CENTRAL NERVOUS SYSTEM","20","32"
"GB1","CENTRAL NERVOUS SYSTEM","162","259"
"GB1","CENTRAL NERVOUS SYSTEM","24","38"
"GCIY","GI TRACT","161","258"
"GCIY","STOMACH","23","37"
"GCT","SOFT TISSUE","122","195"
"GCT","SOFT TISSUE","24","38"
"GDM1","BLOOD","77","123"
"GI1","CENTRAL NERVOUS SYSTEM","158","253"
