"cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"EHEB","1","0","0","5","8","18","30","6"
"EKVX","1","0","0","6","10","37","62","21"
"EM2","6","1","4","15","26","48","41","12"
"EN","0","0","1","1","0","22","0","0"
"EoL1cell","13","0","10","10","22","26","33","5"
"EPLC272H","1","0","1","4","5","21","17","12"
"ES1","10","0","7","10","6","44","49","12"
"ES2","0","0","1","2","1","18","0","0"
"ES3","4","0","3","8","9","37","63","14"
"ES4","10","0","5","10","9","45","49","10"
"ES5","3","0","4","5","6","43","50","27"
"ES6","4","0","7","9","14","39","53","12"
"ES7","6","0","6","4","10","40","57","15"
"ES8","9","0","8","7","17","37","51","9"
"ESS1","4","0","7","6","8","44","34","14"
"ETK1","7","0","7","12","5","48","47","12"
"EVSAT","1","0","1","4","8","22","37","13"
"EW1","10","0","5","8","12","32","59","12"
"EW11","3","0","2","7","10","32","62","22"
"EW12","0","0","1","0","1","2","18","18"
"EW13","4","0","6","8","8","35","55","13"
"EW16","10","0","10","5","13","47","48","5"
"EW18","2","0","3","5","14","27","56","18"
"EW22","1","0","1","3","6","20","35","10"
"EW24","4","0","1","2","9","21","44","23"
"EW3","2","0","0","13","12","41","39","12"
"EW7","3","0","4","2","4","12","16","5"
"F36P","0","1","0","3","6","14","0","0"
"FADU","2","0","5","7","9","49","35","14"
"FTC133","2","0","1","6","7","29","40","13"
"FU97","0","0","2","1","1","17","0","0"
"FUOV1","0","0","1","1","2","20","0","0"
"G361","3","0","6","7","16","40","19","11"
"G401","2","0","7","11","9","54","29","10"
"G402","3","1","5","12","6","52","34","6"
"GAK","0","0","3","7","12","22","66","22"
"GAMG","6","0","6","4","10","54","31","7"
"GB1","3","0","6","12","16","61","55","9"
"GCIY","1","0","4","14","13","65","48","16"
"GCT","2","1","5","5","8","56","35","10"
"GDM1","1","0","4","5","15","19","24","9"
"GI1","8","0","7","8","12","65","44","14"
"GIMEN","2","0","4","11","14","43","51","13"
"GLC82","0","0","0","2","0","22","0","0"
"GMS10","1","0","3","3","11","44","42","18"
"GOTO","2","0","3","5","13","36","63","16"
"GP5d","3","0","2","7","9","27","36","14"
"GRANTA519","0","1","1","4","1","17","0","0"
"GRST","5","0","3","11","8","41","46","15"
"GT3TKB","7","0","5","8","11","40","50","17"
"H4","6","0","8","4","13","50","32","9"
"H9","4","0","4","7","7","9","8","1"
"HAL01","4","0","4","4","15","50","45","7"
"HARA","0","0","1","0","3","17","0","0"
"HC1","6","0","2","9","8","35","38","6"
"HCC1143","1","0","0","2","3","14","15","2"
"HCC1187","2","0","4","3","9","48","80","11"
"HCC1395","1","0","4","2","7","45","43","16"
"HCC1419","0","0","1","7","5","23","51","11"
"HCC15","0","0","1","2","0","20","0","0"
"HCC1569","0","0","4","5","8","51","41","13"
"HCC1599","0","0","5","7","9","15","37","4"
"HCC1806","6","1","3","8","8","45","43","7"
"HCC1937","2","0","0","5","7","24","51","9"
"HCC1954","0","0","4","4","5","49","48","11"
"HCC2157","2","0","2","2","11","26","53","6"
"HCC2218","0","0","3","10","10","36","41","21"
"HCC2935","0","0","1","1","2","20","0","0"
"HCC2998","5","0","5","7","8","27","48","13"
"HCC38","3","0","3","4","6","23","38","21"
"HCC4006","0","1","0","3","2","18","0","0"
"HCC44","0","0","1","2","0","18","0","0"
"HCC56","0","0","1","1","2","18","0","0"
"HCC70","2","1","2","10","8","45","45","9"
"HCC78","0","0","0","2","1","20","0","0"
"HCC827","0","0","1","3","4","12","0","0"
"HCE4","5","0","6","5","12","35","49","11"
"HCET","4","0","4","6","13","40","55","16"
"HCT116","5","1","1","6","17","44","37","11"
"HCT15","1","0","0","4","17","37","32","10"
"HDLM2","0","0","5","3","8","31","64","19"
"HDMYZ","4","0","9","10","10","47","55","21"
"HDQP1","0","1","0","2","4","17","0","0"
"HEC1","1","0","5","7","3","33","38","11"
"HEC151","0","1","1","1","4","17","0","0"
"HEC1A","0","0","1","1","1","20","0","0"
"HEC1B","0","0","1","2","3","18","0","0"
"HEC251","0","0","1","1","0","22","0","0"
"HEC265","0","1","0","2","3","18","0","0"
"HEC59","0","1","0","3","2","18","0","0"
"HEC6","0","0","1","1","2","20","0","0"
"HEL","3","0","6","11","12","42","48","16"
"HEL9217","0","0","0","2","1","20","0","0"
"HEMCSS","1","0","1","2","10","17","21","9"
"HEP3B217","0","0","0","1","2","21","0","0"
"HEPG2","0","0","3","1","4","16","0","0"
"HEYA8","0","0","1","3","2","16","0","0"
"HGC27","6","0","8","3","16","46","36","7"
"HH","2","0","8","9","15","54","56","8"
"HL60","4","0","6","10","15","40","40","14"
"HLE","5","0","3","7","9","55","34","9"
"HLF","0","0","0","2","3","19","0","0"
"HMC18","0","0","1","2","2","19","0","0"
"HMCB","0","0","1","2","3","18","0","0"
"HMVII","5","0","4","8","6","28","30","8"
"HN","3","0","3","4","9","26","44","9"
"HO1N1","4","0","4","5","9","29","39","8"
