"tissue_cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times","cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"AUTONOMIC:GANGLIA_CHP212","0.00578004","21","17","17","16","16","16","15","CHP212","0","0","4","1","0","16","0","0"
"AUTONOMIC:GANGLIA_IMR32","0.00254261","23","22","22","20","20","20","20","IMR32","0","1","0","2","0","20","0","0"
"AUTONOMIC:GANGLIA_KELLY","0.0388003","20","18","17","17","17","14","0","KELLY","0","0","0","2","1","17","0","0"
"AUTONOMIC:GANGLIA_KPNSI9S","0.0044054","24","23","23","18","18","17","15","KPNSI9S","0","1","1","4","1","17","0","0"
"AUTONOMIC:GANGLIA_SIMA","0.00254261","24","23","23","20","20","20","19","SIMA","0","1","0","3","1","19","0","0"
"AUTONOMIC:GANGLIA_SKNAS","0.00766751","21","19","19","18","16","15","15","SKNAS","0","0","2","1","3","15","0","0"
"AUTONOMIC:GANGLIA_SKNBE2","0.00531926","24","23","22","21","20","20","17","SKNBE2","0","0","2","1","1","20","0","0"
"AUTONOMIC:GANGLIA_SKNDZ","0.0060104","22","20","20","19","19","19","17","SKNDZ","0","0","2","0","1","19","0","0"
"AUTONOMIC:GANGLIA_SKNFI","0.052232","21","20","19","17","15","14","0","SKNFI","0","0","0","1","2","18","0","0"
"AUTONOMIC:GANGLIA_SKNSH","0.0227017","23","21","21","18","17","15","12","SKNSH","0","0","2","0","3","18","0","0"
"BILIARY:TRACT_HUCCT1","0.00913067","24","23","23","21","21","20","18","HUCCT1","0","0","1","2","0","21","0","0"
"BLADDER_5637","0","NA","NA","NA","NA","NA","NA","NA","5637","4","0","2","9","6","34","28","15"
"BLADDER_639V","0","NA","NA","NA","NA","NA","NA","NA","639V","6","0","4","2","8","32","37","9"
"BLADDER_647V","0","NA","NA","NA","NA","NA","NA","NA","647V","4","0","5","4","7","24","45","9"
"BLADDER_BFTC905","0","NA","NA","NA","NA","NA","NA","NA","BFTC905","7","0","3","5","10","35","31","8"
"BLADDER_DSH1","0","NA","NA","NA","NA","NA","NA","NA","DSH1","2","0","5","9","12","41","54","15"
"BLADDER_HT1197","0.01","98","95","94","89","87","85","81","HT1197","0","0","3","3","7","22","53","10"
"BLADDER_HT1376","0","NA","NA","NA","NA","NA","NA","NA","HT1376","1","0","1","4","7","35","39","11"
"BLADDER_J82","0","NA","NA","NA","NA","NA","NA","NA","J82","3","0","5","4","6","32","40","4"
"BLADDER_KU1919","0.01","98","96","94","90","87","81","74","KU1919","0","0","2","5","6","28","42","15"
"BLADDER_LB831BLC","0","NA","NA","NA","NA","NA","NA","NA","LB831BLC","3","0","3","9","15","37","51","20"
"BLADDER_RT112","0","NA","NA","NA","NA","NA","NA","NA","RT112","6","0","4","5","13","31","30","9"
"BLADDER_RT4","0","NA","NA","NA","NA","NA","NA","NA","RT4","1","0","1","0","3","11","22","8"
"BLADDER_SW1710","0","NA","NA","NA","NA","NA","NA","NA","SW1710","7","0","4","3","11","36","31","6"
"BLADDER_SW780","0","NA","NA","NA","NA","NA","NA","NA","SW780","3","0","2","5","5","30","34","19"
"BLADDER_T24","0","NA","NA","NA","NA","NA","NA","NA","T24","2","0","6","3","7","25","44","11"
"BLADDER_TCCSUP","0","NA","NA","NA","NA","NA","NA","NA","TCCSUP","1","0","3","7","5","32","36","14"
"BLADDER_UMUC3","0","NA","NA","NA","NA","NA","NA","NA","UMUC3","4","0","4","5","5","31","39","6"
"BLADDER_VMCUB1","0","NA","NA","NA","NA","NA","NA","NA","VMCUB1","4","0","4","5","7","31","32","6"
"BLOOD_697","0","NA","NA","NA","NA","NA","NA","NA","697","9","0","14","7","17","46","30","6"
"BLOOD_ALLPO","0","NA","NA","NA","NA","NA","NA","NA","ALLPO","4","0","8","8","13","51","41","4"
"BLOOD_ARH77","0","NA","NA","NA","NA","NA","NA","NA","ARH77","2","0","2","10","5","15","36","7"
"BLOOD_ATN1","0","NA","NA","NA","NA","NA","NA","NA","ATN1","6","0","4","9","11","29","56","14"
"BLOOD_BALL1","0.07","52","50","48","45","45","45","40","BALL1","0","0","0","2","3","7","37","3"
"BLOOD_BC1","0","NA","NA","NA","NA","NA","NA","NA","BC1","2","0","2","8","8","27","26","4"
"BLOOD_BC3","0","NA","NA","NA","NA","NA","NA","NA","BC3","1","0","3","6","8","25","29","5"
"BLOOD_BE13","0","NA","NA","NA","NA","NA","NA","NA","BE13","9","0","6","6","17","33","47","11"
"BLOOD_BL41","0","NA","NA","NA","NA","NA","NA","NA","BL41","3","0","5","10","5","25","23","6"
"BLOOD_BL70","0","NA","NA","NA","NA","NA","NA","NA","BL70","7","0","4","8","5","23","25","5"
"BLOOD_BV173","0","NA","NA","NA","NA","NA","NA","NA","BV173","4","0","10","10","19","40","34","8"
"BLOOD_C8166","0.01","129","126","121","118","114","113","108","C8166","0","0","3","5","7","22","64","28"
"BLOOD_CA46","0","NA","NA","NA","NA","NA","NA","NA","CA46","1","0","2","2","7","26","28","11"
"BLOOD_CCRFCEM","0","NA","NA","NA","NA","NA","NA","NA","CCRFCEM","3","0","8","7","10","29","59","13"
"BLOOD_CESS","0","NA","NA","NA","NA","NA","NA","NA","CESS","3","0","6","6","7","23","29","3"
"BLOOD_CMK","0","NA","NA","NA","NA","NA","NA","NA","CMK","4","0","3","8","8","26","25","3"
"BLOOD_CROAP2","0.17","8","7","7","6","6","6","4","CROAP2","0","0","0","0","1","1","4","2"
"BLOOD_CTB1","0","NA","NA","NA","NA","NA","NA","NA","CTB1","4","0","7","6","18","40","50","4"
"BLOOD_CTV1","0","NA","NA","NA","NA","NA","NA","NA","CTV1","7","0","8","12","12","44","37","5"
"BLOOD_Daudi","0","NA","NA","NA","NA","NA","NA","NA","Daudi","3","0","1","10","5","26","27","5"
"BLOOD_DB","0","NA","NA","NA","NA","NA","NA","NA","DB","6","0","3","3","14","38","51","13"
"BLOOD_DEL","0","NA","NA","NA","NA","NA","NA","NA","DEL","7","0","4","6","8","36","25","4"
"BLOOD_DG75","0.02","77","75","71","69","66","62","59","DG75","0","0","1","6","2","19","26","23"
"BLOOD_DOHH2","0","NA","NA","NA","NA","NA","NA","NA","DOHH2","5","0","12","6","11","37","50","8"
"BLOOD_EB2","0","NA","NA","NA","NA","NA","NA","NA","EB2","3","0","3","4","3","22","28","14"
"BLOOD_EB3","0","NA","NA","NA","NA","NA","NA","NA","EB3","1","0","1","4","7","20","39","5"
"BLOOD_EHEB","0","NA","NA","NA","NA","NA","NA","NA","EHEB","1","0","0","5","8","18","30","6"
"BLOOD_EM2","0","NA","NA","NA","NA","NA","NA","NA","EM2","6","0","2","12","21","35","41","12"
"BLOOD_EoL1cell","0","NA","NA","NA","NA","NA","NA","NA","EoL1cell","13","0","10","10","22","26","33","5"
"BLOOD_GDM1","0","NA","NA","NA","NA","NA","NA","NA","GDM1","1","0","4","5","15","19","24","9"
"BLOOD_GRST","0","NA","NA","NA","NA","NA","NA","NA","GRST","5","0","3","11","8","41","46","15"
"BLOOD_H9","0","NA","NA","NA","NA","NA","NA","NA","H9","4","0","4","7","7","9","8","1"
"BLOOD_HAL01","0","NA","NA","NA","NA","NA","NA","NA","HAL01","4","0","4","4","15","50","45","7"
"BLOOD_HC1","0","NA","NA","NA","NA","NA","NA","NA","HC1","6","0","2","9","8","35","38","6"
"BLOOD_HDLM2","0.01","129","124","122","119","114","107","98","HDLM2","0","0","5","3","8","31","64","19"
"BLOOD_HDMYZ","0","NA","NA","NA","NA","NA","NA","NA","HDMYZ","4","0","8","8","8","33","55","21"
"BLOOD_HEL","0","NA","NA","NA","NA","NA","NA","NA","HEL","3","0","6","11","12","42","48","16"
"BLOOD_HH","0","NA","NA","NA","NA","NA","NA","NA","HH","2","0","6","9","13","35","56","8"
"BLOOD_HL60","0","NA","NA","NA","NA","NA","NA","NA","HL60","4","0","6","10","15","40","40","14"
"BLOOD_HT","0","NA","NA","NA","NA","NA","NA","NA","HT","1","0","5","7","9","28","55","24"
"BLOOD_IM9","0.02","77","75","74","70","68","68","64","IM9","0","0","1","3","4","18","29","22"
"BLOOD_JiyoyeP2003","0.01","77","71","68","62","61","59","51","JiyoyeP2003","0","0","6","4","6","27","29","5"
"BLOOD_JRT3T35","0","NA","NA","NA","NA","NA","NA","NA","JRT3T35","3","0","9","7","10","35","50","15"
"BLOOD_JVM2","0.01","125","124","124","121","118","115","108","JVM2","0","0","1","2","6","26","68","22"
"BLOOD_JVM3","0","NA","NA","NA","NA","NA","NA","NA","JVM3","4","0","2","3","6","33","45","36"
"BLOOD_K052","0.01","71","69","67","61","60","54","50","K052","0","0","2","4","8","14","25","18"
"BLOOD_K562","0","NA","NA","NA","NA","NA","NA","NA","K562","3","0","2","4","10","29","55","26"
"BLOOD_KARPAS299","0","NA","NA","NA","NA","NA","NA","NA","KARPAS299","1","0","1","9","8","22","67","21"
"BLOOD_KARPAS422","0.01","77","74","73","63","58","57","51","KARPAS422","0","0","3","6","10","20","32","6"
"BLOOD_KARPAS45","0","NA","NA","NA","NA","NA","NA","NA","KARPAS45","3","0","8","9","12","46","35","11"
"BLOOD_KASUMI1","0","NA","NA","NA","NA","NA","NA","NA","KASUMI1","3","0","7","4","4","18","18","20"
"BLOOD_KE37","0","NA","NA","NA","NA","NA","NA","NA","KE37","9","0","8","10","11","28","55","8"
"BLOOD_KG1","0","NA","NA","NA","NA","NA","NA","NA","KG1","1","0","4","9","15","36","47","17"
"BLOOD_KMH2","0","NA","NA","NA","NA","NA","NA","NA","KMH2","1","0","4","5","7","33","56","23"
"BLOOD_KMOE2","0","NA","NA","NA","NA","NA","NA","NA","KMOE2","1","0","2","7","11","29","44","10"
"BLOOD_KMS12PE","0.05","77","73","73","68","66","63","59","KMS12PE","0","0","0","3","5","10","34","25"
"BLOOD_KU812","0","NA","NA","NA","NA","NA","NA","NA","KU812","6","0","8","11","13","38","39","6"
"BLOOD_KY821","0","NA","NA","NA","NA","NA","NA","NA","KY821","2","0","4","8","11","26","51","18"
"BLOOD_L363","0","NA","NA","NA","NA","NA","NA","NA","L363","5","0","8","10","10","39","43","14"
"BLOOD_L428","0.02","129","126","125","113","109","103","98","L428","0","0","1","7","9","25","61","26"
"BLOOD_L540","0","NA","NA","NA","NA","NA","NA","NA","L540","2","0","2","6","8","24","32","3"
"BLOOD_LAMA84","0","NA","NA","NA","NA","NA","NA","NA","LAMA84","6","0","7","10","20","44","33","9"
"BLOOD_LC41","0","NA","NA","NA","NA","NA","NA","NA","LC41","1","0","2","8","7","24","29","6"
"BLOOD_LOUCY","0","NA","NA","NA","NA","NA","NA","NA","LOUCY","3","0","8","5","5","16","31","9"
"BLOOD_LP1","0","NA","NA","NA","NA","NA","NA","NA","LP1","1","0","0","4","7","23","32","10"
"BLOOD_MC116","0","NA","NA","NA","NA","NA","NA","NA","MC116","4","0","3","8","10","34","59","11"
"BLOOD_MCCAR","0.01","77","71","71","65","63","60","53","MCCAR","0","0","6","5","5","24","23","14"
"BLOOD_MEG01","0","NA","NA","NA","NA","NA","NA","NA","MEG01","6","0","5","9","21","41","31","16"
"BLOOD_MHHCALL2","0.01","77","76","73","70","66","60","57","MHHCALL2","0","0","1","5","7","15","33","16"
"BLOOD_MHHPREB1","0","NA","NA","NA","NA","NA","NA","NA","MHHPREB1","6","0","9","7","10","36","54","7"
"BLOOD_ML2","0","NA","NA","NA","NA","NA","NA","NA","ML2","4","0","8","8","23","34","38","10"
"BLOOD_MLMA","0","NA","NA","NA","NA","NA","NA","NA","MLMA","3","0","4","13","13","35","61","9"
"BLOOD_MN60","0.01","129","124","122","116","110","104","94","MN60","0","0","5","5","11","37","56","15"
"BLOOD_MOLT13","0","NA","NA","NA","NA","NA","NA","NA","MOLT13","1","0","4","2","8","12","29","4"
"BLOOD_MOLT16","0","NA","NA","NA","NA","NA","NA","NA","MOLT16","6","0","8","7","10","43","46","9"
"BLOOD_MOLT4","0","NA","NA","NA","NA","NA","NA","NA","MOLT4","8","0","3","11","9","40","48","10"
"BLOOD_MONOMAC6","0","NA","NA","NA","NA","NA","NA","NA","MONOMAC6","3","0","3","13","8","21","24","5"
"BLOOD_MoT","0","NA","NA","NA","NA","NA","NA","NA","MoT","1","0","0","1","4","24","67","32"
"BLOOD_MV411","0","NA","NA","NA","NA","NA","NA","NA","MV411","14","0","11","11","18","46","24","4"
"BLOOD_NALM6","0","NA","NA","NA","NA","NA","NA","NA","NALM6","8","0","5","5","7","29","17","5"
"BLOOD_NKM1","0","NA","NA","NA","NA","NA","NA","NA","NKM1","6","0","9","12","13","47","33","9"
"BLOOD_NOMO1","0","NA","NA","NA","NA","NA","NA","NA","NOMO1","3","0","5","6","13","37","47","18"
"BLOOD_OCIAML2","0","NA","NA","NA","NA","NA","NA","NA","OCIAML2","4","0","5","7","12","37","50","14"
"BLOOD_OPM2","0","NA","NA","NA","NA","NA","NA","NA","OPM2","3","0","2","4","14","15","30","9"
"BLOOD_P12ICHIKAWA","0","NA","NA","NA","NA","NA","NA","NA","P12ICHIKAWA","5","0","5","11","7","23","29","9"
"BLOOD_P30OHK","0","NA","NA","NA","NA","NA","NA","NA","P30OHK","5","0","2","6","13","31","52","20"
"BLOOD_P31FUJ","0.07","77","76","76","73","71","67","64","P31FUJ","0","0","0","1","0","11","23","42"
"BLOOD_PF382","0","NA","NA","NA","NA","NA","NA","NA","PF382","1","0","3","10","9","24","26","4"
"BLOOD_QIMRWIL","0","NA","NA","NA","NA","NA","NA","NA","QIMRWIL","6","0","7","8","16","50","36","6"
"BLOOD_Raji","0","NA","NA","NA","NA","NA","NA","NA","Raji","1","0","0","5","7","22","34","8"
"BLOOD_Ramos2G64C10","0","NA","NA","NA","NA","NA","NA","NA","Ramos2G64C10","6","0","4","7","13","39","55","5"
"BLOOD_REH","0","NA","NA","NA","NA","NA","NA","NA","REH","2","0","6","3","3","22","34","7"
"BLOOD_RL","0.09","77","76","74","69","68","66","59","RL","0","0","0","1","3","10","30","33"
"BLOOD_RPMI6666","0","NA","NA","NA","NA","NA","NA","NA","RPMI6666","2","0","5","6","9","23","25","7"
"BLOOD_RPMI8226","0","NA","NA","NA","NA","NA","NA","NA","RPMI8226","4","0","7","7","11","36","46","17"
"BLOOD_RPMI8402","0","NA","NA","NA","NA","NA","NA","NA","RPMI8402","3","0","6","5","6","28","21","7"
"BLOOD_RPMI8866","0","NA","NA","NA","NA","NA","NA","NA","RPMI8866","3","0","3","7","5","26","54","31"
"BLOOD_RS411","0","NA","NA","NA","NA","NA","NA","NA","RS411","7","0","7","11","15","47","37","5"
"BLOOD_SCC3","0","NA","NA","NA","NA","NA","NA","NA","SCC3","2","0","2","7","7","16","29","14"
"BLOOD_SIGM5","0","NA","NA","NA","NA","NA","NA","NA","SIGM5","9","0","5","6","12","20","22","3"
"BLOOD_SKM1","0.04","40","39","39","39","39","37","33","SKM1","0","0","0","1","0","7","24","8"
"BLOOD_SKMM2","0","NA","NA","NA","NA","NA","NA","NA","SKMM2","1","0","1","3","10","16","32","14"
"BLOOD_SR","0","NA","NA","NA","NA","NA","NA","NA","SR","5","0","7","5","10","25","22","3"
"BLOOD_ST486","0","NA","NA","NA","NA","NA","NA","NA","ST486","3","0","6","5","7","34","19","3"
"BLOOD_SUDHL1","0.01","77","74","74","66","64","55","51","SUDHL1","0","0","3","6","7","18","24","19"
"BLOOD_SUPT1","0","NA","NA","NA","NA","NA","NA","NA","SUPT1","2","0","1","7","1","25","28","13"
"BLOOD_TALL1","0.01","76","74","74","68","68","68","64","TALL1","0","0","2","4","2","13","35","20"
"BLOOD_THP1","0.01","77","74","74","72","71","66","65","THP1","0","0","3","0","4","13","38","19"
"BLOOD_TUR","0","NA","NA","NA","NA","NA","NA","NA","TUR","1","0","2","3","7","11","26","27"
"BLOOD_U266","0","NA","NA","NA","NA","NA","NA","NA","U266","3","0","4","3","11","29","61","18"
"BLOOD_U698M","0.01","77","75","75","71","67","66","60","U698M","0","0","2","3","5","22","38","7"
"BLOOD_WSUNHL","0","NA","NA","NA","NA","NA","NA","NA","WSUNHL","1","0","1","5","5","15","34","16"
"BLOOD_YT","0.01","77","74","74","69","65","64","57","YT","0","0","3","3","7","20","29","15"
"BONE_A673","0.0366638","22","20","20","18","16","15","0","A673","0","0","0","2","1","19","0","0"
"BONE_CAL72","0","NA","NA","NA","NA","NA","NA","NA","CAL72","2","0","0","3","8","27","49","9"
"BONE_CAL78","0.00558513","24","23","23","21","21","19","19","CAL78","0","0","1","2","2","19","0","0"
"BONE_ES1","0","NA","NA","NA","NA","NA","NA","NA","ES1","10","0","7","10","6","44","49","12"
"BONE_ES3","0","NA","NA","NA","NA","NA","NA","NA","ES3","4","0","3","8","9","37","63","14"
"BONE_ES4","0","NA","NA","NA","NA","NA","NA","NA","ES4","10","0","5","10","9","45","49","10"
"BONE_ES5","0","NA","NA","NA","NA","NA","NA","NA","ES5","3","0","4","5","6","43","50","27"
"BONE_ES6","0","NA","NA","NA","NA","NA","NA","NA","ES6","4","0","7","9","14","39","53","12"
"BONE_ES7","0","NA","NA","NA","NA","NA","NA","NA","ES7","6","0","6","4","10","40","57","15"
"BONE_ES8","0","NA","NA","NA","NA","NA","NA","NA","ES8","9","0","8","7","17","37","51","9"
"BONE_EW1","0","NA","NA","NA","NA","NA","NA","NA","EW1","10","0","5","8","12","32","59","12"
"BONE_EW11","0","NA","NA","NA","NA","NA","NA","NA","EW11","3","0","2","7","10","32","62","22"
"BONE_EW12","0.02","40","39","39","38","38","38","37","EW12","0","0","1","0","1","2","18","18"
"BONE_EW13","0","NA","NA","NA","NA","NA","NA","NA","EW13","4","0","6","8","8","35","55","13"
"BONE_EW16","0","NA","NA","NA","NA","NA","NA","NA","EW16","10","0","10","5","13","47","48","5"
"BONE_EW18","0","NA","NA","NA","NA","NA","NA","NA","EW18","2","0","3","5","14","27","56","18"
"BONE_EW22","0","NA","NA","NA","NA","NA","NA","NA","EW22","1","0","1","3","6","20","35","10"
"BONE_EW24","0","NA","NA","NA","NA","NA","NA","NA","EW24","4","0","1","2","9","21","44","23"
"BONE_EW3","0","NA","NA","NA","NA","NA","NA","NA","EW3","2","0","0","13","12","41","39","12"
"BONE_EW7","0","NA","NA","NA","NA","NA","NA","NA","EW7","3","0","4","2","4","12","16","5"
"BONE_HEMCSS","0","NA","NA","NA","NA","NA","NA","NA","HEMCSS","1","0","1","2","10","17","21","9"
"BONE_HOS","0","NA","NA","NA","NA","NA","NA","NA","HOS","8","0","3","6","14","50","34","7"
"BONE_HuO3N1","0","NA","NA","NA","NA","NA","NA","NA","HuO3N1","2","0","4","5","8","36","36","7"
"BONE_HuO9","0","NA","NA","NA","NA","NA","NA","NA","HuO9","2","0","3","3","7","25","27","7"
"BONE_MG63","0","NA","NA","NA","NA","NA","NA","NA","MG63","5","0","6","1","15","50","35","10"
"BONE_MHHES1","0","NA","NA","NA","NA","NA","NA","NA","MHHES1","6","1","6","8","12","45","35","9"
"BONE_NOS1","0","NA","NA","NA","NA","NA","NA","NA","NOS1","6","0","8","12","14","56","32","10"
"BONE_NY","0","NA","NA","NA","NA","NA","NA","NA","NY","2","0","2","4","5","31","48","6"
"BONE_Saos2","0","NA","NA","NA","NA","NA","NA","NA","Saos2","1","0","4","2","7","25","46","13"
"BONE_SAOS2","0.00875097","24","23","23","19","19","19","18","SAOS2","0","0","1","1","3","19","0","0"
"BONE_SJSA1","0","NA","NA","NA","NA","NA","NA","NA","SJSA1","4","0","7","8","19","53","56","13"
"BONE_SKES1","0.00254261","24","23","23","20","19","19","18","SKES1","0","1","1","3","1","18","0","0"
"BONE_SKPNDW","0","NA","NA","NA","NA","NA","NA","NA","SKPNDW","6","0","5","10","8","35","56","9"
"BONE_SW1353","0.0113073","24","23","23","21","21","20","19","SW1353","0","0","1","1","2","20","0","0"
"BONE_TC71","0.00424515","24","23","23","22","20","20","20","TC71","0","1","0","1","2","20","0","0"
"BONE_TI73","0","NA","NA","NA","NA","NA","NA","NA","TI73","2","0","3","1","7","18","14","7"
"BONE_U2OS","0","NA","NA","NA","NA","NA","NA","NA","U2OS","1","0","2","9","6","46","44","14"
"BREAST_AU565","0","NA","NA","NA","NA","NA","NA","NA","AU565","5","0","4","6","9","44","43","10"
"BREAST_BT20","0","NA","NA","NA","NA","NA","NA","NA","BT20","1","1","2","5","8","49","41","15"
"BREAST_BT474","0.01","161","156","154","142","141","135","130","BT474","0","0","5","8","8","48","61","31"
"BREAST_BT549","0.00515594","81","79","76","71","70","70","66","BT549","0","0","5","5","2","38","21","10"
"BREAST_CAL120","0","NA","NA","NA","NA","NA","NA","NA","CAL120","1","0","2","5","9","27","40","14"
"BREAST_CAL148","0.01","76","72","71","63","63","59","56","CAL148","0","0","4","6","3","15","29","19"
"BREAST_CAL51","0","NA","NA","NA","NA","NA","NA","NA","CAL51","6","0","6","4","10","28","36","8"
"BREAST_CAL851","0","NA","NA","NA","NA","NA","NA","NA","CAL851","3","0","5","5","9","50","40","9"
"BREAST_CAMA1","0","NA","NA","NA","NA","NA","NA","NA","CAMA1","2","0","4","5","10","40","53","8"
"BREAST_COLO824","0.01","138","136","136","130","128","121","118","COLO824","0","0","2","4","4","32","67","29"
"BREAST_DU4475","0","NA","NA","NA","NA","NA","NA","NA","DU4475","6","0","9","14","12","33","44","7"
"BREAST_EFM19","0","NA","NA","NA","NA","NA","NA","NA","EFM19","1","0","5","7","9","48","39","13"
"BREAST_EVSAT","0","NA","NA","NA","NA","NA","NA","NA","EVSAT","1","0","1","4","8","22","37","13"
"BREAST_HCC1143","0","NA","NA","NA","NA","NA","NA","NA","HCC1143","1","0","0","2","3","14","15","2"
"BREAST_HCC1187","0","NA","NA","NA","NA","NA","NA","NA","HCC1187","2","0","4","3","9","48","80","11"
"BREAST_HCC1395","0","NA","NA","NA","NA","NA","NA","NA","HCC1395","1","0","4","2","7","45","43","16"
"BREAST_HCC1419","0.02","98","95","91","85","82","78","70","HCC1419","0","0","1","7","5","23","51","11"
"BREAST_HCC1569","0.01","122","118","116","112","106","101","98","HCC1569","0","0","4","5","8","51","41","13"
"BREAST_HCC1599","0.01","77","72","70","63","59","54","51","HCC1599","0","0","5","7","9","15","37","4"
"BREAST_HCC1806","0","NA","NA","NA","NA","NA","NA","NA","HCC1806","6","1","3","8","8","45","43","7"
"BREAST_HCC1937","0","NA","NA","NA","NA","NA","NA","NA","HCC1937","2","0","0","5","7","24","51","9"
"BREAST_HCC1954","0.01","121","117","115","113","111","105","99","HCC1954","0","0","4","4","5","49","48","11"
"BREAST_HCC2157","0","NA","NA","NA","NA","NA","NA","NA","HCC2157","2","0","2","2","11","26","53","6"
"BREAST_HCC2218","0.01","121","118","115","104","102","93","84","HCC2218","0","0","3","10","10","36","41","21"
"BREAST_HCC38","0","NA","NA","NA","NA","NA","NA","NA","HCC38","3","0","3","4","6","23","38","21"
"BREAST_HCC70","0","NA","NA","NA","NA","NA","NA","NA","HCC70","2","1","2","10","8","45","45","9"
"BREAST_HDQP1","0.00254261","24","23","23","22","20","18","17","HDQP1","0","1","0","2","4","17","0","0"
"BREAST_HMC18","0.00551276","24","23","23","21","19","19","17","HMC18","0","0","1","2","2","19","0","0"
"BREAST_Hs578T","0","NA","NA","NA","NA","NA","NA","NA","Hs578T","1","0","5","3","5","26","39","18"
"BREAST_HS578T","0.0628823","23","21","21","21","21","19","0","HS578T","0","0","0","2","0","21","0","0"
"BREAST_HS739T","0.00254261","24","23","23","23","23","22","21","HS739T","0","1","0","0","2","21","0","0"
"BREAST_MB157","0.00688726","24","23","23","20","17","17","17","MB157","0","0","1","3","3","17","0","0"
"BREAST_MCF7","0","NA","NA","NA","NA","NA","NA","NA","MCF7","6","0","5","7","9","46","37","11"
"BREAST_MDAMB134VI","0.04","76","74","71","64","62","60","54","MDAMB134VI","0","0","0","3","6","16","30","21"
"BREAST_MDAMB157","0","NA","NA","NA","NA","NA","NA","NA","MDAMB157","1","0","3","4","7","48","44","14"
"BREAST_MDAMB175VII","0.03","120","114","111","98","96","85","77","MDAMB175VII","0","0","0","8","13","43","36","20"
"BREAST_MDAMB231","0","NA","NA","NA","NA","NA","NA","NA","MDAMB231","1","0","3","6","5","28","45","10"
"BREAST_MDAMB361","0","NA","NA","NA","NA","NA","NA","NA","MDAMB361","3","0","3","4","9","28","42","9"
"BREAST_MDAMB415","0","NA","NA","NA","NA","NA","NA","NA","MDAMB415","1","0","4","2","6","48","37","16"
"BREAST_MDAMB436","0.0166979","23","22","22","21","20","20","18","MDAMB436","0","0","1","0","1","21","0","0"
"BREAST_MDAMB453","0","NA","NA","NA","NA","NA","NA","NA","MDAMB453","2","1","3","3","4","42","46","21"
"BREAST_MDAMB468","0","NA","NA","NA","NA","NA","NA","NA","MDAMB468","2","0","3","2","6","29","14","5"
"BREAST_MFM223","0.01","138","136","136","132","128","123","120","MFM223","0","0","2","1","8","25","60","42"
"BREAST_MRKnu1","0","NA","NA","NA","NA","NA","NA","NA","MRKnu1","5","0","3","9","6","24","23","7"
"BREAST_OCUBM","0","NA","NA","NA","NA","NA","NA","NA","OCUBM","7","0","6","9","6","44","49","17"
"BREAST_SKBR3","0.0110645","24","22","21","18","18","18","18","SKBR3","0","0","1","4","1","18","0","0"
"BREAST_T47D","0","NA","NA","NA","NA","NA","NA","NA","T47D","1","0","3","3","11","43","49","11"
"BREAST_UACC812","0.00254261","82","81","81","79","78","76","75","UACC812","0","1","0","3","3","29","22","24"
"BREAST_UACC893","0.05","94","88","88","78","76","71","67","UACC893","0","0","0","6","6","16","51","15"
"BREAST_ZR751","0.0059756","21","20","20","19","19","17","16","ZR751","0","0","1","1","2","17","0","0"
"BREAST_ZR7530","0.0281834","84","81","79","73","72","68","67","ZR7530","0","0","0","5","6","26","34","13"
"CENTRAL:NERVOUS:SYSTEM_1321N1","0.00254261","21","20","20","20","19","17","17","1321N1","0","1","0","1","2","17","0","0"
"CENTRAL:NERVOUS:SYSTEM_42MGBA","0.00254261","20","19","19","17","16","15","15","42MGBA","0","1","0","3","1","15","0","0"
"CENTRAL:NERVOUS:SYSTEM_8MGBA","0","NA","NA","NA","NA","NA","NA","NA","8MGBA","6","0","7","13","14","56","50","12"
"CENTRAL:NERVOUS:SYSTEM_A172","0","NA","NA","NA","NA","NA","NA","NA","A172","3","0","5","4","10","56","30","5"
"CENTRAL:NERVOUS:SYSTEM_ACN","0","NA","NA","NA","NA","NA","NA","NA","ACN","7","0","9","10","12","43","48","9"
"CENTRAL:NERVOUS:SYSTEM_AM38","0","NA","NA","NA","NA","NA","NA","NA","AM38","2","0","4","5","7","26","75","19"
"CENTRAL:NERVOUS:SYSTEM_Becker","0","NA","NA","NA","NA","NA","NA","NA","Becker","4","0","5","10","7","44","53","15"
"CENTRAL:NERVOUS:SYSTEM_CAS1","0","NA","NA","NA","NA","NA","NA","NA","CAS1","1","0","2","9","7","65","58","20"
"CENTRAL:NERVOUS:SYSTEM_CCFSTTG1","0","NA","NA","NA","NA","NA","NA","NA","CCFSTTG1","1","0","2","3","6","14","8","3"
"CENTRAL:NERVOUS:SYSTEM_CHP126","0.01","77","75","74","68","65","60","56","CHP126","0","0","2","6","5","19","36","9"
"CENTRAL:NERVOUS:SYSTEM_CHP134","0.14","25","23","23","16","14","10","7","CHP134","0","0","0","0","2","13","10","0"
"CENTRAL:NERVOUS:SYSTEM_CHP212","0","NA","NA","NA","NA","NA","NA","NA","CHP212","9","0","4","10","8","27","30","10"
"CENTRAL:NERVOUS:SYSTEM_D247MG","0","NA","NA","NA","NA","NA","NA","NA","D247MG","2","0","2","4","5","39","50","12"
