"tissue_cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times","cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"PANCREAS_HuPT4","0","NA","NA","NA","NA","NA","NA","NA","HuPT4","3","0","3","7","8","29","38","10"
"PANCREAS_HUPT4","0.0105692","23","21","21","19","17","16","13","HUPT4","0","0","1","3","2","17","0","0"
"PANCREAS_KCIMOH1","0.00254261","20","19","19","19","18","17","16","KCIMOH1","0","1","0","1","2","16","0","0"
"PANCREAS_KP1N","0.0124459","24","23","23","22","22","21","19","KP1N","0","0","1","0","1","22","0","0"
"PANCREAS_KP1NL","0.0179304","24","23","23","22","22","20","19","KP1NL","0","0","1","0","1","22","0","0"
"PANCREAS_KP2","0.00965237","22","21","19","18","17","17","14","KP2","0","0","1","3","1","17","0","0"
"PANCREAS_KP3","0.027492","24","23","23","21","20","16","14","KP3","0","0","0","1","2","21","0","0"
"PANCREAS_KP4","0","NA","NA","NA","NA","NA","NA","NA","KP4","7","1","2","7","9","42","44","6"
"PANCREAS_L33","0.00535493","24","23","23","21","19","19","19","L33","0","0","1","2","2","19","0","0"
"PANCREAS_MIAPaCa2","0","NA","NA","NA","NA","NA","NA","NA","MIAPaCa2","5","0","5","4","10","31","35","8"
"PANCREAS_MIAPACA2","0.00405202","24","23","22","20","19","17","17","MIAPACA2","0","1","2","1","3","17","0","0"
"PANCREAS_MZ1PC","0","NA","NA","NA","NA","NA","NA","NA","MZ1PC","5","0","6","8","14","42","52","11"
"PANCREAS_PANC0203","0.0164539","24","22","21","19","18","17","13","PANC0203","0","0","2","2","2","18","0","0"
"PANCREAS_PANC0327","0","NA","NA","NA","NA","NA","NA","NA","PANC0327","4","1","4","6","13","49","30","15"
"PANCREAS_PANC0403","0.0102636","24","23","22","21","19","16","16","PANC0403","0","0","1","2","2","19","0","0"
